CIRENCESTER-DOLLARWOOD-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP022021,Long,-1.969555,Lat,51.717623,Elevation,366,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,1.02,4.38,1,1.47,1.34,2.43,1.14,5.9,4.97,0.75,4.68,2.49,2.14,3.43,5.04,4.16,3.18,3.48,2.37,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,0.77,2.08,1.57,1.32,0.47,4.27,1.96,1.92,1.55,3.55,4.89,5.58,1.39,1.97,3.27,1.12,0.39,3.98,6.08,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,4.56,1.86,1.15,2.98,4.05,0.57,1.97,5.1,3.78,4.31,1.33,4.33,2.97,1.44,4.97,3.06,1.96,2.91,2.36,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,2.59,0.77,3.25,2.8,2.14,3.02,1.11,0.16,4.43,1.4,1.24,1.37,1.56,2.71,2.78,4.96,1.17,2.86,2.73,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,0.27,2.12,2.56,2.17,1.65,1.42,1.11,2.56,2.24,1.55,3.58,2.93,3.14,2,1.51,1.97,1.95,1.09,1.37,7.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,4.12,3.61,2.65,0.82,4.45,3.93,1.89,4.1,0.87,2.58,2.06,3.1,2.96,1.29,1.57,3.16,0.3,1.19,0.44,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,0.53,1.45,3.66,2.25,2.54,2.28,0.06,3.67,0.95,3.72,4.66,1.91,2.48,3.61,2.56,4.69,0.54,5.37,1.94,4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,4.39,1.15,2.1,4.01,3.46,3.8,1.21,6.47,1.37,1.47,2.04,3.77,6.48,2.37,2.44,1.25,2.05,5.01,2.31,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,1.44,0.66,0.74,2.11,3.24,0.44,1.4,0.85,2.62,1.64,1.47,1.33,2.37,6.65,1.79,1.79,1.95,2.42,2.83,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,1.56,5.24,6.23,1.94,5.16,3.23,3.19,3.78,3.29,2.15,4.16,6.78,4.11,1.99,1.67,2.45,1.68,1.12,5.1,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,3.82,3.02,2.35,1.5,0.87,4.07,3.54,1.86,3.04,4.66,2.09,2.96,0.9,2.82,1.68,1.44,2.78,1.91,2.16,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
