HAWKSHEAD ESTHWAITE MOUNT,,,,,,,,,,,,,,,,,,,,
Grid ref,SD358983,Long,-2.9898351,Lat,54.376137,Elevation,246,ft,,,,,,,,,,,,
Station no,RR7974,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,11.84,4.04,9.56,5.59,7.71,4.25,8.48,7.19,,,,,,
February,,,,,,,5.91,5.98,4.28,5.91,13.01,11.11,5.17,4.7,,,,,,
March,,,,,,,5.45,8,6.35,4.6,4,2.85,10.72,8.71,,,,,,
April,,,,,,,2.45,3.39,3.35,5.1,4.05,6.07,2.48,7.93,,,,,,
May,,,,,,,9.18,7.05,5.53,3.42,3.48,2.62,2.21,4,,,,,,
June,,,,,,,2.66,12.1,3.94,3.29,2.9,4.56,7.53,5.79,,,,,,
July,,,,,,,4.13,3.98,5.39,7.32,5.05,0.9,6.32,1.13,,,,,,
August,,,,,,,6.34,7.91,7.32,4.47,12.1,5.24,8.59,2.23,,,,,,
September,,,,,,4.73,2.72,1.47,9.92,4.77,0.95,6,4.08,3.02,,,,,,
October,,,,,,4.88,9.13,9.15,4.3,11.81,1.62,7.25,9.36,3.83,,,,,,
November,,,,,,9.6,7.58,7.36,5.74,3.06,7.12,9.62,4.54,9.19,,,,,,
December,,,,,,6.79,5.57,10.63,7.04,13.5,9.1,12.27,9.41,6.12,,,,,,
Total,,,,,,,72.96,81.06,72.72,72.84,71.09,72.74,78.89,63.84,,,,,,
