"LOWESTOFT BELLE VUE PARK",,,,,,,,,,,,
Grid ref,TM550944,Long,1.754579,Lat,52.487864,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.42,0.49,1.00,1.36,1.59,0.92,3.75,1.44,0.64,0.74,,
February,3.43,1.23,0.46,0.24,2.47,1.28,2.42,1.42,1.70,0.86,,
March,0.86,1.75,1.17,1.75,1.43,1.72,1.31,1.15,1.90,2.48,,
April,1.06,2.29,1.16,2.01,0.93,1.94,0.46,2.94,2.39,1.36,,
May,1.42,1.33,3.01,1.61,1.85,1.24,1.44,2.32,0.97,1.16,,
June,2.66,1.56,1.34,1.99,0.50,2.56,1.66,2.04,0.58,2.61,,
July,1.35,1.01,1.82,2.37,1.41,0.35,0.25,0.86,2.39,2.06,,
August,3.65,0.77,3.11,4.24,2.31,3.06,0.53,0.76,2.40,1.22,,
September,1.07,0.83,1.11,2.62,1.56,1.72,1.57,0.25,1.54,2.01,,
October,1.91,2.20,1.12,3.60,0.88,3.86,2.54,3.42,1.17,3.67,,
November,1.82,1.55,1.45,1.61,1.96,1.63,3.81,2.15,1.51,0.88,,
December,2.15,3.86,1.39,1.16,2.43,1.07,3.46,2.65,1.45,4.31,,
Total,23.80,18.87,18.14,24.56,19.32,21.35,23.20,21.40,18.64,23.36,,
Calc annual,23.80,18.87,18.14,24.56,19.32,21.35,23.20,21.40,18.64,23.36,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
