"LOWESTOFT (GRAMMAR SCHOOL)",,,,,,,,,,,,
Grid ref,TM543947,Long,1.744521,Lat,52.490881,,,,,,,
Station no,1377,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.04,2.52,0.96,1.55,1.79,3.37,1.27,2.19,2.63,4.10,,
February,2.85,1.05,1.36,1.81,1.75,2.15,2.24,3.11,0.17,1.14,,
March,2.63,2.38,0.30,1.99,1.54,0.71,1.68,1.59,0.87,1.39,,
April,3.81,0.84,1.74,0.37,0.38,0.81,0.49,1.13,1.87,0.51,,
May,1.90,1.06,1.14,1.61,1.61,0.73,1.39,2.81,0.38,0.37,,
June,1.99,1.54,1.83,2.13,2.08,1.47,1.95,3.21,0.41,1.36,,
July,3.08,1.61,2.51,1.75,0.25,1.78,2.24,2.08,1.15,3.17,,
August,2.28,4.31,2.30,4.88,1.51,3.86,1.74,2.32,1.69,2.91,,
September,1.87,2.79,1.61,1.29,1.26,1.13,3.29,1.85,0.00,5.67,,
October,0.56,1.76,1.67,1.59,4.41,3.76,1.33,1.97,2.71,7.16,,
November,3.38,4.21,0.96,4.28,0.59,1.13,1.46,1.07,2.71,3.23,,
December,1.50,2.79,0.88,1.54,1.24,0.99,1.79,3.03,2.88,3.97,,
Total,27.89,26.86,17.26,24.79,18.41,21.89,20.87,26.36,17.47,34.98,,
Calc annual,27.89,26.86,17.26,24.79,18.41,21.89,20.87,26.36,17.47,34.98,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
