YORK COPMANTHORPE VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SE565468,Long,-1.1413246,Lat,53.914276,Elevation,53,ft,,,,,,,,,,,,
Station no,RR3016,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,1.1,0.25,0.43,1.85,,,,,,,
February,,,,,,,,,,2.7,1.77,3.88,1.04,,,,,,,
March,,,,,,,,,,0.78,1.66,2.16,2.16,,,,,,,
April,,,,,,,,,,1.75,2.38,1.06,2.22,,,,,,,
May,,,,,,,,,,2.2,2.35,1.24,1.62,,,,,,,
June,,,,,,,,,,4.16,2.03,1.66,3.32,,,,,,,
July,,,,,,,,,,3.42,6.09,1.85,4.36,,,,,,,
August,,,,,,,,,,2.58,1.58,4.19,2.21,,,,,,,
September,,,,,,,,,,2,3.82,3.29,1.51,,,,,,,
October,,,,,,,,,,0.96,3.68,2.68,4.69,,,,,,,
November,,,,,,,,,,1.5,2.17,2.34,,,,,,,,
December,,,,,,,,,,0.5,3.15,2.9,,,,,,,,
Total,,,,,,,,,,23.65,30.93,27.68,,,,,,,,
