CHERITON-BISHOP-HORSLAKE,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX772939,Long,-3.741397,Lat,50.731698,Elevation,500,ft,,,,,,,,,,,,,,,,,
Station no,1777/5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,6.24,7.4,5.68,6.92,1.94,5.6,4.63,8.01,2.68,4.24,4.43,4.98,7.76,1.76,0.94,3.84,5.01,0.44,,,,,,,
February,4.39,5.97,1.07,1.89,3.54,4.66,1.13,2.54,0.84,2.59,3.86,1.56,1.83,1.92,6.82,5.73,0.89,1.31,,,,,,,
March,3.77,5.24,0.1,1.93,2.51,3.98,2.43,1.63,0.07,0.78,2.66,7.67,1.56,2.11,1.42,4.59,2.85,1.01,,,,,,,
April,2.51,3.92,0.35,2.89,4.43,1.07,1.38,1.01,2.46,0.99,2.81,2.71,2.51,1.89,2.32,2.37,3.32,2.17,,,,,,,
May,0.86,2.27,2.41,0.66,1.26,2.35,5.72,3.4,1.36,3.71,6.3,2.35,2,2.1,2.82,2.77,1.98,2.52,,,,,,,
June,1.04,0.87,1.51,3.04,1.13,1.88,0.82,1.19,1.75,2.38,1.96,2.38,1.83,0.4,1.13,0.82,1.06,1.66,,,,,,,
July,7,1.46,2.63,5.27,2.64,0.75,1.2,2.55,2.28,3.31,1.17,1.52,1.6,3.44,3.37,2.11,0.67,2.01,,,,,,,
August,0.18,0.96,5.03,1.81,0.36,3.78,2.64,2.06,3.71,1.62,4,1.07,2.96,1.1,4.19,3.21,6.94,2.29,,,,,,,
September,3.08,2.45,1.44,0.84,1.57,0.86,2.92,4.15,2.49,2.61,5.06,2.34,1.21,3.58,5.12,3.41,3.23,3.7,,,,,,,
October,1.73,4.4,3.27,5.11,3.43,2.35,2.88,4.65,4.92,4.44,3.03,1.49,4.59,7.67,1.35,2.04,5.28,3.68,,,,,,,
November,3.27,2.31,6.04,8.63,8.74,3.57,1.24,3.5,6.64,0.95,6.27,3.36,2.5,4.57,7.83,7.32,4.71,2.41,,,,,,,
December,3.85,3.91,5.12,2.32,2.9,3.08,5.33,2.64,3.61,6.75,5.01,4.27,7.04,1.79,4,3.61,3.99,1.09,,,,,,,
Total,37.92,41.16,34.65,41.31,34.45,33.93,32.32,37.33,32.81,34.37,46.56,35.7,37.39,32.33,41.31,41.82,39.93,24.29,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Gauge moved 1 mile SW to Horslake,,,,,,,,,,,,,,,,,,,,,,,,,
Called a continuation station,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Moved to Ringwood Hants,,,,,,,,,,,,,,,,,,,,,,,,,
