CHERITON-BISHOP-HORSLAKE-(MEDLAND-MANOR),,,,,,,,
Grid ref,SX780950,Long,-3.72982,Lat,50.74207,Elevation,530,ft
Station no,1777/5,,,,,,,
,,,,,,,,
,1931,1932,1933,1934,1935,,,
January,,,2.08,3.06,0.61,,,
February,,,2.78,0.26,3.14,,,
March,,,3.98,3.19,1.37,,,
April,,,1.01,2.98,4.01,,,
May,,,2.76,1.48,1.88,,,
June,,,2.37,2.05,3.04,,,
July,,,2.71,0.39,0.35,,,
August,,,2.27,3.64,2.2,,,
September,,,1.68,2.21,3.14,,,
October,,,3.03,2.09,4.73,,,
November,,,1.27,1.87,5.04,,,
December,,,1.77,9.08,4.66,,,
Total,,,27.71,32.3,34.17,,,
,,,,,,,,
Medland Manor,,,,,,,,
1936 Gauge moved 1 mile SW to Horslake,,,,,,,,
