MARDALE (GUERNESS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY483135,Long,-2.800086,Lat,54.514151,Elevation,905,ft,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3671/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,12.06,14.69,15.89,3.06,2.73,8.42,17.95,10.08,7.41,9.24,12.99,17.18,5.58,5.55,8.26,7.11,3.23,7.09,7.96,6.07,15.33,10.34,6.34,11.52,,
February,,,,,,,9.6,4.88,14.54,3.15,8.28,2.63,6.82,3.09,9.62,5.61,2.3,6.41,9.72,9.48,8.41,1.25,2.7,6.73,2.79,1.03,8.84,8.29,1.92,13.4,,
March,,,,,,,4,6.29,6.46,9.31,4.23,6.01,3.52,0.64,5.26,4.84,9.7,7.72,2.34,6.23,4.16,5.14,1.53,7.38,2.57,2.95,7.01,2.16,7.52,2.14,,
April,,,,,,,5.1,0.55,2.93,3.46,3.22,8.12,5.16,3.47,3.86,1.71,10.78,4.06,8.56,5.04,6.26,6.09,5.88,1.04,2.4,1.45,1.94,2.49,8.47,8,,
May,,,,,,,3.88,6.98,1.22,1.58,4.19,8.12,6,2.96,6.36,2.25,3.69,2.79,4.13,3.18,2.06,3.7,4.14,5.84,7.45,3.92,4.6,7.64,2.38,2.92,,
June,,,,,,,2.81,11.39,5.39,1.16,0.17,0.99,7.01,5.59,6.95,7.4,5.63,10.24,1.47,3.46,1.99,4.42,4.01,6.92,4.94,4.42,1.85,6.24,5.81,4.93,,
July,,,,,,,3.46,12.57,10.71,7.78,1.63,6.19,5.44,4.48,4.92,6.3,4.59,4.02,2.85,6.41,4.34,2.75,8.97,5.25,4.05,7.47,4.72,6.33,5.94,7.49,,
August,,,,,,,3.52,4.85,3.42,2.53,9.85,9.68,11.02,5.65,2.45,9.06,0.14,10.4,4.01,12.85,8.46,8.19,6.6,7.8,3.22,10.81,8.59,5.43,1.29,4.84,,
September,,,,,,,7.4,4.65,2.85,6.73,1.83,10.26,9.32,8.46,8.79,15.52,7.69,10.06,1.84,15.72,14.02,7.1,11.17,15.45,4.66,6.14,7.96,9.84,1.45,4.27,,
October,,,,,,,5.38,22.9,4.47,13.45,8.62,9.28,10.54,9.28,10.99,1.68,2.04,6.2,11.66,8.6,1.26,10.69,5.4,22.02,6.4,7.14,10.76,8.8,10.48,6.99,,
November,,,,,,,2.52,16.94,16.06,9.47,6.76,2.5,6.29,16.58,0.48,16.52,12.31,7.45,15.03,6.7,18.66,4.61,12.8,17.97,4.81,3.2,3.4,1.45,12.79,20.39,,
December,,,,,,,6.59,9.15,4.94,7.69,5.74,13.77,5.48,6.64,5.41,11.24,3.12,13.57,14.16,3.27,16.82,7.53,5.12,11.25,11.77,11.89,10.05,8.39,16.36,10.01,,
Total,,,,,,,66.32,115.84,88.88,69.37,57.25,85.97,94.55,76.92,72.5,91.37,74.98,100.1,81.35,86.49,94.7,68.58,71.55,114.74,63.02,66.49,85.05,77.4,80.75,96.9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 May - has to be 7.45 although looks like 1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12984,GUERNESS ,01/01/1937,Current ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
