BLACKRIDGE (BEDLORMIE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS883672,Long,-3.787314,Lat,55.884948,Elevation,650,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5152/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.05,1.53,6.24,4.15,5.19,3.91,4.7,3.66,7.94,4.01,2.86,5.17,4.59,1.89,4.47,2.81,,,,,
February,,,,,,,,,,1.82,4.35,1.69,4.06,1.99,6.55,3.52,1.23,4.61,5.06,4.18,2.73,1.41,2.1,2.8,2.19,,,,,
March,,,,,,,,,,4.27,3.39,1.35,2.74,0.79,2.93,3.23,4.07,3.23,1.79,3.68,3.74,2.27,1.01,2.6,2.05,,,,,
April,,,,,,,,,,4.22,1.89,2.74,2.58,2.95,2.37,1.51,5.06,3.29,3.94,3.47,2.99,2.16,2.66,2.13,1.68,,,,,
May,,,,,,,,,,1.89,4.46,2.52,4.24,3.34,4.71,1.85,3.29,1.83,1.91,2.08,2.33,1.47,2.42,4.24,3.69,,,,,
June,,,,,,,,,,2.86,1,1.89,4.87,4.34,4.38,3.6,3.84,5.74,1.06,2.71,3.53,3.54,1.84,3.49,2.29,,,,,
July,,,,,,,,,,6.08,3.46,3.61,3.11,3.18,3.49,4.23,2.56,3.45,2.31,5.02,4.83,3.26,5.74,3.44,1.38,,,,,
August,,,,,,,,,,2.17,5.44,3.8,5.01,4.8,3.08,4.07,0.03,7.72,3.89,3.85,4.55,4.8,3.31,6.88,1.38,,,,,
September,,,,,,,,,,4.09,0.76,5.17,3.03,5.99,6.65,7.82,3.73,5.67,1.93,8.84,2.75,2.86,2.66,5.7,3.73,,,,,
October,,,,,,,,,,3.67,3.94,6.06,6.1,4.97,5.88,0.6,1.67,4.98,5.47,3.49,1.18,3.15,3.06,9.43,2.93,,,,,
November,,,,,,,,,,5.32,2.61,0.97,2.25,7.86,0.83,5.17,5.38,3.37,4.24,3.81,5.72,2.6,6.92,5.78,1.8,,,,,
December,,,,,,,,,,4.27,2.25,3.8,2.12,5.06,3.3,3.87,3.33,4.78,8.15,2.35,6.49,4.04,4.56,6.52,6.17,,,,,
Total,,,,,,,,,,43.71,35.08,39.84,44.26,50.46,48.08,44.17,37.85,56.61,43.76,46.34,46.01,36.15,38.17,57.48,32.1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_28_pt1-page-272.csv data actually for 1940 to 1943 inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 then added manually as not transcribed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_28_pt1-page-273.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-1944 copied from p272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
