"CHEADLE HEATH SEWAGE WORKS",,,,,,,,,,,,
Grid ref,SJ869898,Long,-2.198508,Lat,53.404854,,,,,,,
Station no,2641/1/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.94,3.61,1.23,2.97,2.17,4.41,1.57,3.11,2.73,4.47,,
February,1.61,1.11,1.37,3.29,1.91,0.81,1.86,4.15,0.28,2.37,,
March,4.07,1.76,2.10,2.41,1.90,0.90,2.64,2.30,1.41,0.74,,
April,1.96,3.21,2.14,0.49,1.83,2.47,0.30,0.69,3.14,1.28,,
May,1.60,1.62,1.89,2.63,2.83,1.12,1.55,2.49,0.79,1.92,,
June,1.43,2.54,2.14,2.86,2.49,2.28,1.79,4.83,2.30,1.74,,
July,2.75,3.25,3.34,4.35,0.83,4.54,4.04,4.61,2.57,4.44,,
August,3.59,2.07,4.16,4.82,1.27,8.34,3.81,3.82,0.31,5.37,,
September,2.05,2.92,2.61,3.71,2.06,2.20,5.75,3.56,0.24,4.00,,
October,0.80,3.26,2.03,5.77,1.98,2.33,3.14,2.38,3.11,3.34,,
November,6.27,2.16,2.75,5.54,1.53,1.37,1.32,1.27,3.13,4.54,,
December,5.03,3.19,1.38,4.83,3.59,2.80,2.78,2.86,3.90,3.46,,
Total,34.10,30.70,27.14,43.67,24.39,33.57,30.55,36.07,23.91,37.67,,
Calc annual,34.10,30.70,27.14,43.67,24.39,33.57,30.55,36.07,23.91,37.67,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
