BUCKLAND-THE-WHITE-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ220507,Long,-0.25354,Lat,51.24249,Elevation,265,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,5.33,1.15,5.86,1.05,1.96,1.28,2.46,1.81,3.21,4.58,1.06,4.6,1.85,1.25,3.51,4.46,3.62,2.81,4.06,1.86,,,,,,,
February,,,,,4.15,1.12,2.76,1.81,1.19,0.6,4.38,1.58,2.47,1.55,5.13,5.81,5.35,1.26,1.98,2.68,0.91,0.33,2.89,4.46,,,,,,,
March,,,,,2.06,4.27,1,1.07,3.09,3.85,1.49,2.09,4.95,3.22,5.27,0.8,4.81,2.28,1.24,4.25,2.31,1.82,2.6,2.33,,,,,,,
April,,,,,1.81,1.47,0.54,3.56,2.63,2.13,2.18,2.15,0.04,3.35,1.16,1.49,1.4,2.68,3.99,3.96,3.82,1.29,3.77,2.61,,,,,,,
May,,,,,2.21,0.91,1.26,1.82,2.34,1.57,2.28,2.81,1.83,2.13,1.46,2.89,2.21,1.67,1.6,0.27,0.86,1.86,0.88,3.68,,,,,,,
June,,,,,1.35,4.52,2.45,1.84,2.55,3.19,1.96,2.69,3.38,0.47,0.7,2.7,2.45,1.54,0.9,0.98,1.31,0.16,1.42,0.41,,,,,,,
July,,,,,1.11,0.88,0.37,2.2,2.86,3.97,3.26,0.45,1.75,3.91,1.99,4.58,1.24,4.56,6.21,2.26,5.77,0.17,4.06,3.73,,,,,,,
August,,,,,0.78,2.78,1.03,2.75,4.16,2.51,2.99,0.45,6.1,2.07,1.65,2.01,3.63,5.99,1.09,2.57,1.52,1.53,2.97,2.74,,,,,,,
September,,,,,2.01,2.6,1.68,0.54,1.62,3.18,0.92,1.37,3.53,1.88,0.95,2.53,1.84,2.11,5.97,1.51,3.27,1.12,2.04,1.8,,,,,,,
October,,,,,2.87,1.36,4.28,4.64,2.41,5.39,2.98,5.18,3.31,4.61,1.97,2.67,5.29,3.9,1.49,0.92,1.51,0.78,1.09,7.28,,,,,,,
November,,,,,1.4,5.08,5.04,3.12,0.92,1.07,3.84,5.54,2.87,3.31,4.1,2.91,5.8,1.45,2.69,2.06,2.01,1.82,2.35,2.08,,,,,,,
December,,,,,4,1.15,2.25,2.78,3.23,4.11,4.75,7.36,3.89,1.79,9.22,6.66,3.22,2.45,2.74,5.31,3.21,1.95,5.21,3.36,,,,,,,
Total,,,,,29.08,27.29,28.52,27.18,28.96,32.85,33.49,33.48,37.33,32.87,34.66,39.65,39.09,31.14,33.41,31.23,30.12,15.64,33.34,36.34,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913 Nov 8 Inspection Perfect exposure in garden Gauge in good order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large garden Exact location unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924 Gauge moved to Cirencester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
