GREAT-BOOKHAM-RES,,,,,,,,,,
Grid ref,TQ145526,Long,-0.36025,Lat,51.26164,Elevation,462,ft,,
Station no,125/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.1,2.45,2.8,3.05,3.3
February,,,,,,0.41,3.9,2.5,0.11,2.45
March,,,,,,0.85,1.25,2.05,2.9,1.65
April,,,,,,1.38,0.5,1.05,2.75,0.85
May,,,,,,0.15,1.6,2.5,0.8,2.1
June,,,,,,2.46,1.1,4,0.55,2.2
July,,,,,,5.5,3.2,1.9,2,2.7
August,,,,,,3.5,3.55,3.5,1.5,3.15
September,,,,,,2.6,3.15,5.25,0.15,2.65
October,,,,,,1.5,1.95,3.25,3.15,8.1
November,,,,,,0.83,3.05,2.05,4.05,5.4
December,,,,,,4.84,2.5,3.64,5.95,3.4
Total,,,,,,28.12,28.2,34.49,26.96,37.95
,,,,,,,,,,
SRC_ID 16761,,,,,,,,,,
1956-1988,,,,,,,,,,
