RATHFRILAND,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ196339,Long,-6.16615,Lat,54.23985,Elevation,500,ft,,,,,,,,,,,,
Station no,RR2440,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,5.58,1.75,6.96,2.69,3.71,1.71,0.96,1.99,4.77,4.23,1.59,4.65,5.78,1.15,
February,,,,,,2.23,3.14,3.69,1.37,2.34,3.03,4.11,1.89,5.57,3.69,1.99,4.22,1.08,0.64,
March,,,,,,1.38,2.18,3.41,1.42,2.16,2.2,4.18,3.77,3,3.86,2.18,6.69,1.3,4.15,
April,,,,,,0.18,3.09,5.42,1.72,1.53,3.96,1.14,3.1,1.89,2.22,3.1,1.34,0.99,2.58,
May,,,,,,1.67,1.1,3.67,3.59,2.62,0.88,2.62,2,2.04,1.66,1.47,4.19,1.86,2.53,
June,,,,,,4.52,2.17,2.55,2.46,4.82,2.5,4.43,3.74,1.32,1.19,0.84,1.5,0,4,
July,,,,,,3.51,1.4,4.8,0.87,5.66,5.11,2.33,3.82,3.1,2.97,0.94,4.54,2.78,4.45,
August,,,,,,2.64,3.57,3.33,2.81,4.14,0.78,4.6,3.64,3.48,1.65,1.94,1.61,1.19,2.18,
September,,,,,,6.38,5.13,1.82,4.36,5.11,3.27,2.04,4.33,5.16,2.56,4.81,1.97,2.14,,
October,,,,,,6.28,5.74,2.5,2.85,1.47,2.03,4.17,3.55,2.48,1.84,3.01,4.73,1.83,,
November,,,,,,5.13,3.04,5.29,1.78,0.79,2.88,4.49,5.33,3.5,2.82,2.33,2.06,,2.34,
December,,,,,,2.1,10.19,2.49,0.9,1.88,2.04,2.5,3.17,1.23,2.69,,3.5,1.84,,
Total,,,,,,41.6,42.5,45.93,26.82,36.23,30.39,37.57,40.33,37.54,31.38,,41,,,
,,,,,,,,,,,,,,,,,,,,
Records notes Rathfriland Church 1/4 mile SE so NGR approx there.,,,,,,,,,,,,,,,,,,,,
1885 Dec and total deleted due to question marks,,,,,,,,,,,,,,,,,,,,
