AYLESBURY-PEVEREL-COURT,,,,,,,,,,
Grid ref,SP794117,Long,-0.85000364,Lat,51.798321,Elevation,290,ft,,
Station no,RR7070,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,2.05,1.37,,,
February,,,,,,0.77,2.33,,,
March,,,,,,0.7,2.35,,,
April,,,,,,1.11,1.97,,,
May,,,,,,1.72,0.84,,,
June,,,,,,3.69,1.56,,,
July,,,,,,4.3,0.86,,,
August,,,,,,1.61,1.38,,,
September,,,,,,2,4.53,,,
October,,,,,,5.67,0.7,,,
November,,,,,1.16,2.96,3.17,,,
December,,,,,1.09,0.87,3.61,,,
Total,,,,,,27.45,24.67,,,
