BEAUFORT (BLAEN-Y-CWM-RESERVOIR),,,,,,,,,,,,
Grid ref,SO170130,Long,-3.205306,Lat,51.809450,,,,,,,
Station no,4008/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.08,6.15,1.66,3.73,5.81,8.01,7.60,5.60,8.32,7.43,,
February,8.30,1.22,2.57,5.66,2.80,0.75,8.21,8.93,0.59,7.40,,
March,6.18,4.30,3.89,5.01,3.76,2.55,6.05,2.08,6.38,3.63,,
April,5.97,4.52,4.90,1.02,2.18,2.59,0.29,1.61,6.04,5.38,,
May,4.63,5.08,3.81,3.38,7.29,1.75,3.19,5.02,2.41,2.63,,
June,2.14,4.22,2.39,8.02,5.60,4.72,1.07,4.01,2.44,2.85,,
July,1.79,2.62,6.82,3.81,0.63,5.46,5.88,4.61,4.52,5.70,,
August,7.36,11.55,5.88,5.71,1.36,5.41,4.59,5.00,1.38,4.78,,
September,5.99,4.62,5.53,6.34,3.16,7.49,7.82,9.46,0.26,7.68,,
October,1.71,8.02,4.52,9.69,4.12,2.56,4.80,6.71,5.72,11.17,,
November,14.41,5.02,4.99,13.46,7.19,1.84,3.13,2.76,10.23,13.64,,
December,7.32,5.04,2.25,5.89,9.00,9.74,6.67,5.45,16.18,7.94,,
Total,72.88,62.36,49.21,71.72,52.88,52.87,59.30,61.24,64.47,80.23,,
Calc annual,72.88,62.36,49.21,71.72,52.90,52.87,59.30,61.24,64.47,80.23,,
Difference,0.00,0.00,0.00,0.00,-0.02,-0.00,0.00,0.00,0.00,0.00,,
