BRIDLINGTON GRAMMAR SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA171669,Long,-0.211,Lat,54.085,Elevation,57,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943
January,1.44,1.10,2.06,0.92,,,,,,1.85,1.56,2.77,2.67,2.53,3.49,1.62,2.22,1.62,2.22,1.80,3.69,2.37,3.00,2.76,1.23,1.38,1.64,2.06,3.71,3.74,2.33,3.38,1.86,3.20,4.41,3.71
February,2.22,1.15,2.13,0.89,,,,,,0.79,1.65,1.02,0.79,0.21,2.88,3.42,1.52,2.51,1.37,1.35,1.59,0.94,1.05,2.58,0.45,2.91,1.98,2.94,2.54,2.70,0.80,1.00,1.69,3.68,1.91,0.33
March,2.21,3.96,0.84,2.07,,,,,,1.57,0.70,3.44,2.13,0.83,2.06,1.50,1.14,1.49,0.52,1.33,1.98,0.05,2.05,0.48,2.19,1.78,2.45,0.63,1.02,3.01,0.20,2.24,1.95,2.63,0.56,0.41
April,3.03,1.90,1.93,0.87,,,,,,1.26,1.48,1.61,3.63,1.00,0.92,1.51,1.35,2.53,1.24,2.38,1.44,1.08,2.78,3.08,3.41,1.01,2.09,2.31,1.43,2.66,0.31,1.29,2.32,0.88,1.00,1.09
May,1.38,1.62,2.19,0.67,,,,,,0.70,2.38,0.96,2.05,2.49,0.98,3.33,3.00,2.16,1.80,1.20,1.31,1.26,1.40,2.30,4.78,1.93,0.74,0.48,1.45,4.22,2.91,1.82,0.57,1.52,3.64,2.40
June,1.14,3.40,1.34,2.92,,,,,,1.61,0.51,1.02,0.79,0.24,1.67,0.93,1.93,0.13,3.25,3.20,4.17,1.55,1.58,3.20,0.55,1.25,1.29,2.19,2.60,1.07,2.06,4.41,0.52,0.37,1.09,1.70
July,1.75,2.65,1.94,0.90,,,,,,0.98,2.53,1.93,4.90,0.88,4.92,3.20,3.96,1.21,2.02,2.89,0.52,1.53,5.05,3.57,2.08,1.52,1.85,0.17,3.63,2.21,2.52,2.76,5.16,1.89,2.45,0.81
August,1.55,4.64,2.50,2.87,,,,,,4.06,2.09,2.16,1.47,3.19,3.10,2.43,2.72,2.49,2.57,5.41,3.39,2.09,3.04,3.24,1.83,0.22,2.40,1.21,1.63,0.94,2.55,1.48,1.23,4.15,1.17,
September,1.78,1.19,0.56,2.82,,,,,,0.99,4.80,1.62,1.82,0.65,2.79,1.90,2.01,3.21,1.36,3.85,0.51,0.37,4.43,3.64,3.12,2.17,1.83,4.13,2.08,1.52,1.41,1.89,1.44,0.85,1.99,
October,1.01,3.08,2.09,1.83,,,,,,2.92,1.16,4.79,1.70,1.40,1.55,1.66,3.71,1.81,3.60,1.46,3.11,2.15,1.74,1.70,3.34,5.76,1.90,4.40,1.80,2.76,3.38,3.62,3.05,3.38,1.76,
November,1.29,1.09,3.87,3.25,,,,,,1.46,1.36,2.23,0.50,3.85,1.88,2.74,1.85,4.57,2.61,4.02,2.12,3.63,3.77,2.59,,1.99,3.01,3.94,2.83,2.94,2.80,3.48,3.59,2.94,1.21,
December,1.99,4.11,2.35,4.28,,,,,,0.95,4.25,3.03,2.87,1.68,2.39,2.64,2.27,3.93,1.26,1.99,1.52,4.82,2.28,1.64,1.27,0.87,4.06,2.49,2.01,4.85,3.79,3.14,3.18,0.61,1.92,
Total,20.79,29.89,23.80,24.29,,,,,,19.14,24.47,26.58,25.32,18.95,28.63,26.88,27.68,27.66,23.82,30.88,25.35,21.84,32.17,30.78,,22.79,25.24,26.95,26.73,32.62,25.06,30.51,26.56,26.10,23.11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The November 1932 figure is identified as an estimate on the sheet and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The rain gauge is marked on the 1911 OS 25 inch map.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Later OS maps shows a Meteorological Station or Tower at TA170671.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# This may relate to an altitude change to 76 feet in 1924.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
