"BRIDLINGTON GRAMMAR SCHOOL",,,,,,,,,,,,
Grid ref,TA170668,Long,-0.212951,Lat,54.083830,,,,,,,
Station no,3405,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.44,1.10,,
February,,,,,,,,,2.22,1.15,,
March,,,,,,,,,2.21,3.96,,
April,,,,,,,,,3.03,1.90,,
May,,,,,,,,,1.38,1.62,,
June,,,,,,,,,1.14,3.40,,
July,,,,,,,,,1.75,2.65,,
August,,,,,,,,,1.55,4.64,,
September,,,,,,,,,1.78,1.19,,
October,,,,,,,,,1.01,3.08,,
November,,,,,,,,,1.29,1.09,,
December,,,,,,,,,1.99,4.11,,
Total,,,,,,,,,20.79,29.89,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.79,29.89,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,,
