OUTWELL SLUICE,,,,,,,,,,,,
Grid ref,TF530029,Long,0.257778,Lat,52.602347,,,,,,,
Station no,1464,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.06,0.64,0.65,1.51,1.47,1.08,3.11,1.07,0.89,0.78,,
February,2.29,0.87,1.05,0.42,2.36,1.03,1.78,1.01,1.22,0.37,,
March,0.61,1.53,1.29,2.02,1.11,1.89,1.58,1.03,1.68,2.67,,
April,1.17,2.00,1.22,1.38,0.70,1.85,0.59,1.96,2.71,1.05,,
May,1.50,0.79,3.52,2.62,1.57,1.18,1.11,2.48,1.69,1.40,,
June,1.78,1.72,3.43,2.27,0.72,3.38,3.52,1.88,1.03,4.63,,
July,1.23,2.12,1.84,3.28,2.51,0.82,0.47,2.32,2.41,3.62,,
August,3.44,1.85,2.41,3.18,1.79,2.12,1.93,2.29,2.21,1.92,,
September,0.60,0.98,1.05,2.94,1.81,3.57,0.86,0.65,1.49,1.68,,
October,1.67,1.67,1.61,5.33,1.35,1.61,3.63,2.14,1.14,3.18,,
November,2.09,1.13,1.43,1.92,0.91,1.94,2.75,2.72,0.95,0.64,,
December,2.09,3.01,1.00,1.08,1.74,0.74,1.48,2.79,1.27,3.22,,
Total,21.53,18.31,20.50,27.95,18.04,21.21,22.81,22.34,18.69,25.16,,
Calc annual,21.53,18.31,20.50,27.95,18.04,21.21,22.81,22.34,18.69,25.16,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
