"WITHERN (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TF434824,Long,0.151303,Lat,53.319111,,,,,,,
Station no,2565/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,1.74,4.88,1.23,2.17,3.66,5.03,,
February,,,,,2.63,1.61,2.88,3.97,0.22,3.35,,
March,,,,,3.06,0.76,1.29,2.53,1.64,1.43,,
April,,,,,0.65,1.57,0.30,1.16,1.59,1.07,,
May,,,,,3.44,0.77,1.86,3.11,0.20,0.52,,
June,,,,,3.55,3.24,1.64,2.93,0.85,0.81,,
July,,,,,1.14,3.13,3.32,5.38,1.69,2.42,,
August,,,,,1.19,3.36,2.25,1.97,0.73,2.53,,
September,,,,,0.95,1.58,3.59,2.19,0.69,2.23,,
October,,,,,1.49,1.29,1.31,1.51,1.88,5.26,,
November,,,,,1.34,0.81,2.45,0.77,2.64,3.53,,
December,,,,2.11,1.98,1.67,2.14,2.93,4.52,4.18,,
Total,,,,,23.16,24.67,24.26,30.62,20.31,32.36,,
Calc annual,0.00,0.00,0.00,2.11,23.16,24.67,24.26,30.62,20.31,32.36,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
