TONBRIDGE-KNOWLES-BANK,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ621440,Long,0.31740037,Lat,51.172269,Elevation,319,ft,,,,,,,,,,,,
Station no,RR8353,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.31,0.95,2.78,1.31,2.55,,,,,,,
February,,,,,,,,,1.13,0.84,4.48,1.06,2.15,,,,,,,
March,,,,,,,,,2.62,3.52,1.7,2.32,5.02,,,,,,,
April,,,,,,,,,2.22,1.31,1.9,1.82,0.06,,,,,,,
May,,,,,,,,,1.35,1.59,1.35,1.38,1.04,,,,,,,
June,,,,,,,,,2.3,2.78,1.96,1.95,3.32,,,,,,,
July,,,,,,,,,3.41,3.33,2.7,0.47,1.49,,,,,,,
August,,,,,,,,,3.08,2.14,2.56,0.63,5.73,,,,,,,
September,,,,,,,,,2.08,3.72,0.3,1.65,,,,,,,,
October,,,,,,,,4.95,1.67,6.24,2.61,6.3,,,,,,,,
November,,,,,,,,2.28,1.03,1.04,3.42,5.3,,,,,,,,
December,,,,,,,,3.02,2.95,4.44,4.1,6.21,,,,,,,,
Total,,,,,,,,,25.15,31.9,29.86,30.4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1910 May IDR,,,,,,,,,,,,,,,,,,,,
