"LOCH SUNART GLENBORRODALE",,,,,,,,,,,,
Grid ref,NM608610,Long,-5.906768,Lat,56.679354,,,,,,,
Station no,5392,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,8.20,4.85,7.31,9.86,8.54,6.95,9.62,5.15,7.54,7.74,,
February,6.29,4.18,2.51,11.29,5.01,7.22,6.50,6.15,8.51,5.32,,
March,0.82,3.55,7.69,10.32,4.03,7.57,2.92,6.18,8.61,1.34,,
April,6.28,4.86,4.01,3.18,8.73,2.84,4.86,4.07,2.50,3.73,,
May,5.09,1.64,3.40,3.85,4.23,3.89,4.76,4.63,3.66,4.03,,
June,3.42,4.40,1.50,1.25,3.82,1.13,1.52,4.60,4.25,1.68,,
July,5.26,2.50,3.56,6.65,3.38,6.47,5.56,3.46,3.78,7.03,,
August,6.36,8.21,5.18,8.19,5.57,4.65,4.91,9.69,5.38,5.02,,
September,7.47,6.44,7.82,5.49,5.12,9.32,5.34,2.25,9.34,4.17,,
October,10.75,7.14,6.36,12.74,5.21,7.43,7.62,4.34,1.59,9.40,,
November,6.05,6.90,5.38,7.65,7.56,6.72,8.20,8.33,6.13,5.90,,
December,11.24,7.92,7.68,5.13,5.08,5.97,9.83,7.53,9.38,6.37,,
Total,77.23,62.59,62.40,85.60,66.28,70.16,71.64,66.38,70.67,61.73,,
Calc annual,77.23,62.59,62.40,85.60,66.28,70.16,71.64,66.38,70.67,61.73,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
