MONTGOMERY-PARKER,,,,,,,,,,,,,,,,,,,,
Grid ref,SO223964,Long,-3.1475906,Lat,52.559865,Elevation,550,ft.,,,,,,,,,,,,
Station no,RR2417,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,,,1.15,2.6,3.68,4.07,2.1,,,,
February,,,,,,,,,,,,3.7,2.75,3.43,3.85,3.08,,,,
March,,,,,,,,,,,,2.08,2.5,0.96,1.91,1.5,,,,
April,,,,,,,,,,,,0.35,2.55,1.36,0.95,1.1,,,,
May,,,,,,,,,,,,1.72,1.9,1.25,1.43,2.38,,,,
June,,,,,,,,,,,,1.33,3.56,2.23,2.2,3.1,,,,
July,,,,,,,,,,,,1.5,2.89,1.46,2.96,0.97,,,,
August,,,,,,,,,,,,3.83,-999,1.18,1.73,3.37,,,,
September,,,,,,,,,,,,1.69,-999,4.45,1.33,3.12,,,,
October,,,,,,,,,,,,2.77,4.5,2.66,1.8,4.1,,,,
November,,,,,,,,,,,,2.9,4.7,3.82,2.3,3.85,,,,
December,,,,,,,,,,,,2.48,3.38,1.65,2.25,0.84,,,,
Total,,,,,24.89,30.32,33.79,30.82,34.5,26.44,33.94,25.5,35.53,28.13,26.78,29.51,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is 100 yards S of church as noted on the record. Altitudes match,,,,,,,,,,,,,,,,,,,,
Aug/Sep 1882 the observer notes that a small part of the August rain is included in Sept and the gauge overflowed in September. Have left the readings in as a combined reading.,,,,,,,,,,,,,,,,,,,,
