HEREFORD BURGHILL (Hospital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO482433,Long,-2.757386,Lat,52.085615,Elevation,275,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,1.78,3.46,1.48,2.02,0.54,1.44,1.92,3,2.21,2.15,3.82,1.9,0.52,0.56,2.94,1.59,2.06,1.95,2.3,4.44,0.39,1.9,0.32,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,2.36,1.55,1.15,3.03,2.87,2.94,2.56,3.61,2.33,3.56,1.13,0.4,0.67,1.42,0.68,0.07,2.18,2.59,2.34,0.07,0.19,1.96,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.73,2.05,0.77,0.89,0.92,1.58,0.91,0.84,2.28,1.31,2.11,1.13,2.99,2.6,0.89,1.42,0.68,0.27,1.29,1.71,2.1,3,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,2.47,2.63,2.32,1.65,1.22,0.67,3.61,0.81,1.33,2.14,2.01,0.6,1.04,5.52,0.81,1.44,0.74,0.17,1.88,2.01,0.69,1.53,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,0.29,2.39,4.78,2.43,2.21,1.11,2.42,1.16,0.52,2.19,6.77,1.77,0.81,3.11,1.86,2.9,1.68,2.23,2.91,0.6,0.14,1.05,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,1.16,0.88,2.37,5.95,3.31,2.4,2.72,4.2,2.82,2.03,1.23,0.96,3.59,0.49,1.7,2.02,2.64,1.08,1.88,0.79,1.87,2.85,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,0.8,2.9,0.51,1.77,5.75,1.42,3.81,3.46,2.97,0.15,1.71,0.87,4.82,3.78,1.79,1.21,2.55,2.26,3.16,2.26,0.81,2.35,0.93,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,1.54,4.58,6.58,5.88,0.2,3.93,2.2,1.28,1.96,1.76,1.05,1.82,2.15,2.02,2.24,4,2.94,1.65,2.52,1.83,2.13,3.56,1.15,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,5.09,2.02,4.18,2.98,2.85,1.78,2.21,4.2,1.08,3.12,2.04,1.46,0.44,1.29,0.65,1.32,1.9,0.78,2.69,1.09,4.21,2.28,0.61,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,2.37,2,3.74,0.99,4.8,1.92,4.45,2.87,0.93,2.7,3.83,2.17,0.57,2.44,1.53,6.32,1.21,1.42,3.12,2.26,2.08,1.69,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
