"TEVIOTHEAD, SKELFHILL",,,,,,,,,,,,
Grid ref,NT458048,Long,-2.855943,Lat,55.334246,,,,,,,
Station no,RR7171,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,7.10,,
February,,,,,,,,,,1.90,,
March,,,,,,,,,,4.60,,
April,,,,,,,,,,3.90,,
May,,,,,,,,,,1.10,,
June,,,,,,,,,,1.30,,
July,,,,,,,,,,3.50,,
August,,,,,,,,,,2.40,,
September,,,,,,,,,,1.70,,
October,,,,,,,,,,10.60,,
November,,,,,,,,,,1.20,,
December,,,,,,,,,,2.90,,
Total,,,,,,,,,,42.20,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.20,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
