HEST BANK GREENDALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD470662,Long,-2.8117552,Lat,54.088965,Elevation,97,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3034/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,,4.38,5.06,3.72,4.85,1.69,4.41,2.67,5.17,4.65,2.36,0.7,4.05,6.46,4.99,3.18,4.14,3.66,,,
February,,,,,,,,,,,,4.02,0.02,3.34,0.18,5.1,2.01,5.95,1.62,3.2,2.03,4.4,1.53,2.25,1.6,4.34,3.38,0.81,,,
March,,,,,,,,,,,,0.5,2.71,2.15,2.16,1.17,1.85,1.56,1.47,1.65,3.81,2.69,1.95,1.07,0.44,2.61,1.28,5.19,,,
April,,,,,,,,,,,,1.83,3.04,2,2.85,2.74,0.47,2.86,0.47,2.56,1.81,1.26,1.83,2.85,3.18,1.54,1.42,3.52,,,
May,,,,,,,,,,,,1.68,5,2.81,4.06,1.04,1.63,2.28,3.6,1.06,1.22,2.98,3.39,4.13,3.09,2.97,1.48,3.11,,,
June,,,,,,,,,,,,6.42,2.33,1.68,2.33,4.59,3.26,2.64,4.76,3.36,0.37,0.45,0.86,2.95,3.45,4.05,3.01,3.42,,,
July,,,,,,,,,,,,4.31,5.56,3.7,2.28,1.72,3.74,2.67,4.89,5.65,4,1.69,4.52,5.56,3.49,2.7,5.24,4.16,,,
August,,,,,,,,,,,,3.09,1.37,2.78,4.17,2.37,3.2,2.69,3.64,1.93,1.6,4.21,4.5,7.54,3.32,1.61,5.13,0.46,,,
September,,,,,,,,,,,,2.11,4.31,0.84,4.1,6.67,4.38,3.16,1.76,1.58,5.02,0.89,4.38,4.5,5.46,4.21,6.25,3.84,,,
October,,,,,,,,,,,,2.9,5.8,5.43,5.31,5.76,3.62,1.85,9.43,0.84,5.82,6.88,4.82,5.33,4.05,4.84,0.38,0.36,,,
November,,,,,,,,,,,5.22,7.28,3.24,1.8,1.41,4.52,4.92,1.98,6.38,5.01,4.79,2.08,0.97,2.73,6.36,0.12,6.29,6.02,,,
December,,,,,,,,,,,4.25,4.65,3.04,0.66,5.47,2.96,6.04,2.54,4.82,2.6,4.46,1.71,4.64,2.21,3.47,2.39,5.36,2.26,,,
Total,,,,,,,,,,,,43.17,41.48,30.91,39.17,40.33,39.53,32.85,48.01,34.09,37.29,29.94,37.44,47.58,42.9,34.56,43.36,36.81,,,
