"KETTERING SEWAGE WORKS",,,,,,,,,,,,
Grid ref,SP869765,Long,-0.724776,Lat,52.379653,,,,,,,
Station no,1125,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.25,1.08,0.80,1.92,2.04,0.73,4.20,1.05,1.23,0.91,,
February,4.19,1.11,1.65,0.75,2.67,0.62,1.74,1.31,1.05,0.41,,
March,0.60,2.59,1.22,2.61,1.39,2.46,1.61,1.02,3.00,2.49,,
April,0.69,2.69,1.02,1.81,1.25,2.12,0.56,2.05,2.92,1.35,,
May,1.22,1.61,2.09,2.18,1.70,1.25,1.44,4.61,1.63,1.32,,
June,1.64,1.65,2.16,2.72,1.11,2.67,4.92,2.36,1.14,3.44,,
July,1.63,2.32,1.10,2.59,2.72,0.86,0.94,2.59,2.19,2.65,,
August,3.44,1.75,2.54,3.00,2.04,2.53,0.94,1.96,2.70,1.82,,
September,0.57,1.19,1.38,3.08,1.78,1.92,1.12,0.67,1.49,2.47,,
October,1.50,1.74,1.72,5.46,0.61,0.97,4.16,4.02,1.26,3.31,,
November,2.17,0.75,1.74,1.52,1.04,2.28,3.80,2.34,1.03,0.56,,
December,3.77,3.41,1.16,1.07,1.46,0.86,2.59,3.48,1.52,3.84,,
Total,24.67,21.89,18.58,28.71,19.81,19.27,28.02,27.46,21.16,24.57,,
Calc annual,24.67,21.89,18.58,28.71,19.81,19.27,28.02,27.46,21.16,24.57,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
