"KINGSWINFORD (ASHWOOD PS)",,,,,,,,,,,,
Grid ref,SO866878,Long,-2.198768,Lat,52.487949,,,,,,,
Station no,2316,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.21,2.26,0.92,0.92,2.20,2.65,1.03,1.85,2.90,5.37,,
February,2.17,0.48,1.25,1.98,1.45,0.48,2.32,4.10,0.18,2.01,,
March,3.90,1.63,1.26,1.50,2.62,0.93,2.11,0.82,2.17,1.32,,
April,1.99,1.86,2.64,0.49,1.13,1.81,0.08,0.42,2.82,0.79,,
May,2.96,2.30,1.72,2.79,3.97,0.62,1.25,1.91,1.07,1.18,,
June,0.87,1.86,2.34,2.46,2.20,1.60,1.44,3.42,1.04,1.68,,
July,0.59,0.80,3.23,3.12,0.62,2.23,4.23,4.47,1.94,3.02,,
August,3.42,3.55,2.57,4.30,0.83,3.74,3.21,2.49,1.55,3.37,,
September,3.40,1.00,2.57,1.78,1.31,2.85,4.40,3.38,0.08,4.00,,
October,0.68,3.80,2.09,2.33,1.39,1.58,1.67,2.31,2.62,5.94,,
November,6.11,2.07,1.67,4.47,2.18,0.84,2.04,2.25,3.60,3.82,,
December,2.25,2.48,1.12,1.95,1.86,2.84,1.52,2.31,4.14,2.54,,
Total,30.55,24.09,23.38,28.09,21.76,22.17,25.30,29.73,24.11,35.04,,
Calc annual,30.55,24.09,23.38,28.09,21.76,22.17,25.30,29.73,24.11,35.04,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
