"MONIAIVE (DALMACALLAN)",,,,,,,,,,,,
Grid ref,NX799891,Long,-3.887615,Lat,55.181556,,,,,,,
Station no,5030/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.76,4.99,,
February,,,,,,,,,1.66,7.86,,
March,,,,,,,,1.01,4.13,1.71,,
April,,,,,,,,1.01,4.61,6.14,,
May,,,,,,,,4.31,1.76,2.04,,
June,,,,,,,,4.02,3.74,2.96,,
July,,,,,,,,5.23,4.63,4.98,,
August,,,,,,,,4.26,1.17,5.41,,
September,,,,,,,,6.68,1.76,4.89,,
October,,,,,,,,5.11,7.38,5.20,,
November,,,,,,,,2.33,9.91,10.46,,
December,,,,,,,,6.12,10.98,4.75,,
Total,,,,,,,,,54.49,61.39,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.08,54.49,61.39,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,,
