WROTHAM-HEATH-HUNTSMANS-LODGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ631580,Long,0.3380614,Lat,51.297767,Elevation,300,ft,,,,,,,,,,,,,
Station no,359,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,2.94,2.07,2.44,1.98,2.54,1.43,,,,,
February,,,,,,,,,,,1.76,2.47,0.92,2.07,0.45,4.17,,,,,
March,,,,,,,,,,,1.78,0.29,1.5,3.46,2.83,0.31,,,,,
April,,,,,,,,,,,1.63,4.96,2.65,0.74,1.73,2.99,,,,,
May,,,,,,,,,,,3.15,2.97,4.03,2.13,0.76,1.64,,,,,
June,,,,,,,,,,,0.76,1.76,0.83,1.75,2.08,1.89,,,,,
July,,,,,,,,,,,2.84,3.64,2.27,2.73,2.35,1.18,,,,,
August,,,,,,,,,,,2.91,4.34,1.26,0.67,2.13,3.08,,,,,
September,,,,,,,,,,,4.22,2.1,1.9,3.72,1.66,4.97,,,,,
October,,,,,,,,,,,1.49,0.62,6.55,1.99,2.14,3.99,,,,,
November,,,,,,,,,,,5.19,4.33,1.4,1.13,3.59,6.42,,,,,
December,,,,,,,,,,,2.52,0.64,0.6,0.86,6.61,3.99,,,,,
Total,,,,,,,,,,,31.19,30.19,26.35,23.23,28.87,36.06,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1930 Total IDR,,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,,,,,,,,,,,,
