ROUNTON GRANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ429031,Long,-1.340,Lat,54.422,Elevation,249,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931
January,2.52,2.01,0.78,0.26,,0.95,2.55,3.44,2.03,3.05,1.69,0.67,1.34,2.00,1.10,1.33,1.83,1.86,3.56,0.89,1.67,0.78,2.55,2.34,1.42,0.82,2.28,1.83,0.40,2.24,0.45,1.32,0.69,2.25,1.13,2.42,2.70,1.56,3.15,0.41,3.32,1.91,2.38,3.31,2.96,2.69,1.09,1.79,,,1.93,3.78,1.93,4.06,2.38
February,1.52,0.61,2.05,1.73,,0.65,2.55,1.11,1.16,0.54,0.93,2.44,0.82,1.02,0.12,1.61,2.31,1.90,0.95,0.46,1.07,1.27,1.17,3.93,2.02,0.95,1.28,1.91,0.76,1.18,1.15,1.73,1.14,2.15,0.89,1.24,0.91,1.56,2.72,2.63,0.49,1.66,1.32,0.90,0.24,2.04,3.13,1.29,,,1.01,1.45,0.69,1.24,1.39
March,2.61,1.02,0.50,0.39,,2.22,1.77,2.25,2.05,2.66,1.83,3.07,2.49,1.72,1.62,1.15,0.25,1.06,2.79,2.37,2.61,2.43,1.46,0.98,1.93,0.63,2.56,1.50,1.36,1.49,0.67,2.15,3.11,0.56,1.62,2.67,2.28,1.32,2.13,3.00,1.83,1.08,2.67,2.77,1.22,1.99,1.20,1.12,,,2.28,1.73,0.28,3.05,0.94
April,2.94,1.44,1.72,3.12,,3.84,1.09,2.09,1.78,2.31,1.10,1.60,1.74,0.66,1.45,1.62,0.42,1.14,1.70,0.48,1.57,2.58,2.35,1.23,1.32,1.65,1.19,1.36,2.69,1.28,2.84,2.72,2.55,2.12,0.97,0.07,3.19,0.70,0.89,1.48,1.85,1.50,1.74,3.17,1.22,2.03,1.41,1.87,,,2.10,0.70,0.94,2.35,3.89
May,2.27,2.57,2.46,1.61,,1.97,1.64,0.53,2.40,4.00,2.06,0.54,2.40,2.23,1.95,2.39,1.81,1.97,0.58,0.57,1.24,1.84,3.42,1.39,1.21,2.08,3.29,4.06,1.07,3.29,3.16,1.80,1.52,2.34,1.93,2.55,1.92,1.51,1.45,3.35,0.64,1.72,0.83,2.25,1.51,1.93,2.63,3.96,,,1.69,1.47,1.93,1.23,2.53
June,1.54,2.55,3.07,2.45,,4.09,2.72,1.22,2.35,0.52,0.34,1.90,0.56,1.55,0.65,3.72,1.15,3.73,2.04,3.29,2.07,2.05,1.14,3.46,1.70,1.88,2.89,1.56,2.14,1.43,4.24,0.68,2.80,1.81,3.57,6.78,1.00,3.75,0.50,2.64,2.19,0.59,1.26,1.29,0.56,2.11,0.80,2.43,,,2.37,4.31,1.57,1.53,5.00
July,2.71,1.02,3.97,5.98,,4.48,4.63,3.15,0.73,5.00,1.18,3.58,2.84,1.77,5.09,1.45,2.84,2.24,5.40,2.80,0.96,0.88,1.81,1.46,4.74,2.31,3.68,1.50,1.06,1.47,1.93,3.51,2.74,3.32,0.59,4.10,1.75,3.89,4.49,2.38,0.96,4.31,2.23,4.59,1.47,3.82,2.11,3.03,,,4.20,0.93,2.00,8.15,6.54
August,3.89,4.17,3.10,0.86,,4.10,1.52,1.08,2.63,2.28,1.48,2.18,3.95,5.06,4.26,3.44,2.35,2.86,2.82,2.36,3.55,2.76,1.14,6.42,0.98,2.47,2.28,3.21,2.83,2.58,2.10,1.79,4.06,3.02,3.14,3.66,1.99,0.95,2.87,1.36,6.09,2.41,2.62,1.56,3.53,2.64,3.15,3.34,,,6.61,4.16,2.79,3.36,2.66
September,3.45,1.28,0.79,5.21,,2.21,2.54,0.93,3.55,1.65,3.17,1.35,1.23,2.45,2.40,1.50,1.79,1.10,1.06,2.87,2.06,0.24,3.08,0.72,0.90,0.87,2.88,1.68,2.18,0.52,0.54,2.63,1.91,0.49,1.89,1.39,2.59,1.75,0.91,2.37,0.67,5.12,0.86,1.38,0.90,2.48,2.14,1.87,,,4.85,0.48,1.16,2.72,4.71
October,2.21,1.77,0.83,5.32,,3.62,3.03,1.34,3.84,3.79,2.44,0.42,5.26,1.55,2.96,5.00,0.84,5.05,3.83,4.55,1.66,2.46,2.39,5.63,1.93,2.69,6.87,0.46,1.88,4.55,4.20,1.10,3.21,2.51,2.41,2.01,2.56,1.64,1.34,3.10,2.89,2.13,5.30,1.54,1.28,1.66,2.55,4.12,,,2.36,2.60,3.20,2.29,1.30
November,1.11,7.01,2.05,1.94,,3.21,1.71,1.41,1.34,2.78,2.37,2.96,1.05,3.29,2.55,1.06,2.67,1.45,2.20,1.93,1.81,2.62,1.93,1.98,4.04,0.88,1.44,1.81,4.39,3.51,2.45,1.71,1.56,1.95,3.28,2.19,1.99,2.57,1.43,1.77,1.27,1.37,2.87,1.01,2.08,0.84,3.64,0.99,,,2.27,2.39,3.01,3.09,
December,2.02,3.12,0.67,3.79,,4.16,1.32,1.87,0.81,3.54,2.75,1.15,1.69,1.18,2.29,0.92,2.27,1.35,1.49,3.04,1.76,1.41,2.42,1.48,3.38,1.49,1.24,1.99,0.34,2.69,2.90,0.95,4.20,2.00,3.96,1.28,1.76,4.13,4.45,1.87,1.72,3.22,2.83,2.56,2.07,3.00,2.52,2.93,,,1.72,1.26,4.31,2.30,
Total,28.79,28.57,21.99,32.66,,35.50,27.07,20.42,24.67,32.12,21.34,21.86,25.37,24.48,26.44,25.19,20.53,25.71,28.42,25.61,22.03,21.32,24.86,31.02,25.57,18.72,31.88,22.87,21.10,26.23,26.63,22.09,29.49,24.52,25.38,30.36,24.64,25.33,26.33,26.36,23.92,27.02,26.91,26.33,19.04,27.23,26.37,28.74,,,33.39,25.26,23.81,35.37,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_08_pt3/045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt2/037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Estimated annual figures for 1875 and 1876 before monthly readings start have been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Figures for 1881 are estimates and have been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Figures for November and December 1931 are estimates and have been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The rain gauge is marked on the old OS 25 inch map.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
