INVERESK NR MUSSELBURGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT 351 726,Long,-3.039846,Lat,55.942461,Elevation,60,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,1.67,0.67,2,3.67,1.22,1.17,2.18,1.35,1.85,2.46,1.1,1.46,3.36,1.55,2.75,3.2,2.29,3.02,1.34,1.78,1.55,1.56,1.89,4.21,0.86,2.67,4.03,1.19,3.2,2.14,4.03,3.2,2.42,1.67,1.26,3.77,2.56,1.38,2.89,0.92,5.71,3.42,1.46,0.6,1.04,2.01,2.55,,,,,,
February,,,,,,,,2.11,0.22,2.17,1.56,1.78,1.17,1.65,1.58,1.12,1.16,0.95,5.58,1.43,2.2,0.7,2.07,2.32,0.84,1.78,2.18,0.61,0.78,1.03,2.34,1.76,1.26,2.02,2.36,1.09,3.14,2.3,2.47,2.32,2.05,1.79,1.96,1.59,1.22,1.39,2.99,2.14,0.83,1.77,1.63,2.44,3.12,1.29,,,,,,
March,,,,,,,,1.67,2,2.05,0.44,1.22,2.44,1.25,2.5,1.05,2.14,0.9,3.52,0.84,0.5,3.47,0.5,0.96,0.76,1.3,0.04,1.79,0.5,2.03,2.6,2.08,3.58,0.64,2.66,1.06,2.08,1.8,2.04,0.86,1,0.94,3.24,1.51,1.19,0.99,3.72,2.14,0.67,2.05,1.83,1.83,2.5,1.29,,,,,,
April,,,,,,,,2.33,1.5,0.39,0.22,1.11,0.11,1.94,0.62,0.83,2.91,1.3,1.52,1.71,0.91,2.1,0.4,1.26,0.37,0.5,1.99,1.39,0.88,3.26,0.78,2.11,1.78,2.17,1.21,0.58,1.89,3.35,2.9,1.08,0.27,5.11,2.06,0.19,1.17,0.74,3.5,2.64,1.08,3.14,3.41,0.8,2.4,1.58,,,,,,
May,,,,,,,,1.44,2.39,0.37,3.83,1,1.5,2.47,0.54,2.35,2.93,3.6,0.8,1.86,1.56,1.06,2.02,2.06,1.64,2.31,2.21,1.46,2.45,0.14,1.85,0.68,2.98,1.24,2.31,4.55,1.5,2.85,1.96,1.64,0.77,0.71,4.85,2.7,1.36,0.5,0.55,1.91,2.96,1.73,0.83,2.04,1.48,0.82,,,,,,
June,,,,,,,,2.5,4.5,3.56,2.11,1.78,1.44,1.77,2.78,3.46,3.59,1.95,4.87,1.11,1.26,2.29,2.51,5.4,3.96,2.55,3.38,4.27,1.3,2.3,4.37,2.98,3.63,3.18,2.17,0.32,1.02,2.52,0.5,1.26,1.8,2.98,3.28,0.97,1.62,2.26,2.52,2.4,2.37,5.1,1.56,1.58,2.94,1.62,,,,,,
July,,,,,,,,4.33,1.94,2.05,3,3.44,1.33,2.98,2.18,2.81,4.24,1.6,1.64,2.04,1.75,2.44,0.85,2.44,1.9,3.49,2.2,1.83,5.13,2.81,1.3,3.23,2.59,0.54,1.61,3.25,4.52,6.23,0.37,0.49,1.26,3.9,5.22,2.89,3.19,3.18,1.59,4.59,0.63,6.3,3.65,3.55,4.86,5.14,,,,,,
August,,,,,,,,4.11,2.39,1.89,2,4.44,2.33,1,1.46,4.25,5.44,0.85,2.05,2.32,1.55,3.54,3.41,2.86,2.06,2.66,3.94,1.79,1.68,1,2.67,2.98,4.14,4.67,0.95,4.55,3.58,2.44,5.06,0.97,0.93,2.14,4.27,3.75,4.79,1.23,2.92,6.54,3.92,2.94,0.28,6.37,1.02,3.02,,,,,,
September,,,,,,,,1.17,3.78,3.78,2.56,3,1.56,0.62,1.96,3.64,3.99,1.55,1.15,1.61,1.7,1.64,2.2,1.64,0.64,0.55,6.05,4.09,1.54,1.94,0.98,4.59,2.13,3.21,3.44,0.6,2.69,1.49,3.92,4.54,1.77,3.23,6.02,3.15,1.4,2.62,4.6,1.14,3.45,1.27,3.48,4.2,2.26,2.21,,,,,,
October,,,,,,,,2.33,2,2.22,2,4.17,1,4.85,0.83,5.19,3.6,3.47,3.97,1.89,1.45,1.4,3.18,3.24,1.48,2.6,1.58,2.71,4.15,4.02,3.17,1.54,3.96,2.36,8.06,4.99,1.1,2.32,1.73,1.82,1.73,2.42,4.03,4.08,2.73,2.21,2.74,2.98,2.07,0.96,4.51,2.67,2.92,2.52,,,,,,
November,,,,,,,,1.75,2.67,2.55,2.67,2.22,1.17,2.05,5.45,2.58,2.55,1.3,1.95,2.16,2.59,1.1,3.48,1.06,3,1.6,1.04,2.61,2.13,2.52,2.18,4.75,1.52,2.49,2.27,2.26,2.57,0.63,2.16,1.34,0.85,4.21,4.41,3.18,3.69,4.27,4.04,2.11,2.96,3.13,4.08,2.56,3.26,2.31,,,,,,
December,,,,,,,,2,0.5,2,0.78,2,2.66,0.55,0.57,3.26,1.55,3.89,1.5,1.12,1.05,0.66,6.35,2.8,2.01,0.75,3.4,1.51,1.48,2.4,5.52,0.95,2.65,2.55,1.79,1.33,2.75,1.15,3.81,0.94,2.4,1.73,1.83,1.51,2.53,1.51,8.61,1.36,3.06,1.47,2.74,1.5,5.5,1.32,,,,,,
Total,,,,,,,,27.41,24.56,25.03,24.84,27.38,17.88,23.31,21.82,32.39,36.56,22.46,30.01,21.45,18.07,23.15,30.17,28.33,21.68,21.43,29.79,25.61,23.58,25.34,31.97,28.51,32.89,29.1,30.02,27.78,28.98,31.11,30.12,19.68,16.5,30.42,44.94,28.08,26.27,23.79,38.7,35.66,27.42,31.32,28.6,30.58,34.27,25.67,,,,,,
