ROMSEY-MELCHET-COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU269222,Long,-1.61766,Lat,50.99886,Elevation,207,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,3.97,5.57,4.1,3.6,4.8,1.45,3.03,3.9,5.3,2.38,5.67,2.59,4.69,2.37,2.52,2.42,2.77,,,,,,
February,,,,,,,,,1.57,3.25,0.94,0.27,3.07,5.97,0.37,4.99,2.01,4.24,2.51,0.83,0.97,2.32,0.09,4.42,0.05,,,,,,
March,,,,,,,,,1.05,6.27,2.42,1.64,2.27,1.9,1.3,0.28,0.38,3.69,3.52,0.08,1.33,0.82,1.71,3.82,3.31,,,,,,
April,,,,,,,,,3,2.19,3.1,0.94,3.97,4.48,3.87,2.42,3.34,1.77,2.08,1.15,2.73,2.63,3.83,1.11,2.14,,,,,,
May,,,,,,,,,1.79,0.96,0.59,2.1,0.69,1.98,4.24,4.65,2.17,0.64,1.56,1.85,1.56,3.19,4.2,1.65,0.92,,,,,,
June,,,,,,,,,1,0.79,2.41,0.22,1.13,0.4,2.07,0.03,2.57,2.51,2.09,1.56,0.76,2.47,1.89,2.85,1.11,,,,,,
July,,,,,,,,,5.94,1.64,5.94,0.82,4.5,0.82,4.43,3.41,1.37,3.23,1.59,1.5,2.34,3.77,2.13,1.82,1.95,,,,,,
August,,,,,,,,,2.32,1.43,1.4,1.5,3.46,2.81,2.82,2.21,1.15,3.83,2.33,1.39,3.68,4.61,1.14,0.87,2.9,,,,,,
September,,,,,,,,,7.35,4.85,1.22,0.74,1.8,1.87,4.26,4.07,0.77,5.54,2.11,0.25,3.22,2.05,3.88,3.13,2.33,,,,,,
October,,,,,,,,,1.97,0.88,2.64,1.09,1.65,5.86,4.67,4.12,2.5,1.78,6.72,4.25,1.93,0.61,5.42,1.95,1.53,,,,,,
November,,,,,,,,,3.8,1.32,2.2,2.28,1.86,2.01,3.63,2.79,10.01,3.39,2.8,9.13,5.12,4.29,1.83,0.66,2.4,,,,,,
December,,,,,,,,,3.27,7.11,3.78,1.59,4.44,3.3,6.39,2.79,0.32,2.96,2.82,7.53,3.65,0.62,1.64,0.77,9.62,,,,,,
Total,,,,,,,,,37.03,36.26,30.74,16.79,33.64,32.85,41.08,35.66,31.89,35.96,35.8,32.11,31.98,29.75,30.28,25.47,31.03,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large kitchen garden so NGR in lowest part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-26 Late Not printed owing to change of gardener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
