ROMSEY MELCHET COURT,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,655,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,,,,,,,3.97,5.57,,
February,,,,,,,,,1.57,3.25,,
March,,,,,,,,,1.05,6.27,,
April,,,,,,,,,3.00,2.19,,
May,,,,,,,,,1.79,0.96,,
June,,,,,,,,,1.00,0.79,,
July,,,,,,,,,5.94,1.64,,
August,,,,,,,,,2.32,1.43,,
September,,,,,,,,,7.35,4.85,,
October,,,,,,,,,1.97,0.88,,
November,,,,,,,,,3.80,1.32,,
December,,,,,,,,,3.27,7.11,,
Total,,,,,,,,,37.03,36.26,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.03,36.26,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
