BEN VORLICH,,,,,,,,,,
Grid ref,NN646166,Long,-4.190985,Lat,56.322381,Elevation,1375,ft,,
Station no,5537/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,8.5
February,,,,,,,,,,9.65
March,,,,,,,,,,5.12
April,,,,,,,,,6.2,8.85
May,,,,,,,,,2,5.25
June,,,,,,,,,4.29,3.91
July,,,,,,,,,7.17,6.76
August,,,,,,,,,4.34,7.83
September,,,,,,,,,1.88,6.6
October,,,,,,,,,8.84,11.8
November,,,,,,,,,14.67,11.4
December,,,,,,,,,16.76,9.5
Total,,,,,,,,,,95.17
,,,,,,,,,,
Station no,5537/9,,,,,,,,,
Midas,15306,,,,,,,,,
Hyd Stn,880114,,,,,,,,,
