"RAITHILL",,,,,,,,,,,,
Grid ref,NS483466,Long,-4.414761,Lat,55.689083,,,,,,,
Station no,5231,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.15,5.43,3.77,4.77,3.15,3.27,5.87,5.69,2.10,4.72,,
February,3.58,2.32,2.42,3.46,2.60,2.33,2.29,4.84,3.35,4.73,,
March,3.94,3.24,1.20,3.53,1.14,3.58,5.71,1.17,3.44,1.86,,
April,3.31,2.44,1.72,2.49,3.80,1.58,3.23,1.92,3.23,4.39,,
May,1.43,1.68,1.92,2.96,4.51,3.16,2.91,4.08,1.54,2.22,,
June,2.63,4.02,2.60,5.40,3.00,3.29,3.47,2.64,4.11,3.02,,
July,4.25,4.00,5.11,5.50,0.97,5.15,3.88,5.10,5.47,4.32,,
August,5.44,4.70,4.31,5.99,1.83,5.05,4.92,5.76,1.43,3.05,,
September,4.04,3.12,6.36,6.33,4.55,4.64,4.18,4.65,1.73,4.28,,
October,1.65,3.88,3.91,9.56,3.33,4.37,5.84,4.29,5.82,2.54,,
November,6.45,2.17,10.52,6.62,1.87,2.18,2.88,1.98,5.74,6.02,,
December,8.20,4.48,6.12,6.99,8.33,5.69,5.57,5.33,5.79,7.01,,
Total,50.07,41.48,49.96,63.60,39.08,44.29,50.75,47.45,43.75,48.16,,
Calc annual,50.07,41.48,49.96,63.60,39.08,44.29,50.75,47.45,43.75,48.16,,
Difference,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
