BRUSHES-19th-CENTURY,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ980993,Long,-2.031612,Lat,53.490406,Elevation,480,ft.,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,3.8,1.7,2,5.3,2.9,2.9,,,,,,,,
February,,,,,,,2,4.4,8,1.5,3.4,2.1,,,,,,,,
March,,,,,,,2.1,1.7,4.7,0.6,0.6,3.6,,,,,,,,
April,,,,,,2.5,5.9,4,1.5,1.4,2.4,0.4,,,,,,,,
May,,,,,,2.8,1.4,6.8,1.2,3,1.5,1.5,,,,,,,,
June,,,,,,4.3,4,3.5,5.3,1.8,1.5,5.8,,,,,,,,
July,,,,,,4.2,-999,1.6,4.2,7.5,3.7,3.7,,,,,,,,
August,,,,,,8.3,-999,3.2,5.8,4.2,4,4.1,,,,,,,,
September,,,,,,3.3,-999,6.5,4.2,4.8,1.5,1.8,,,,,,,,
October,,,,,,4.9,5.3,3.5,5.8,4.1,3.6,3.6,,,,,,,,
November,,,,,,3.4,2.4,3.8,2.6,4.7,4.3,1.6,,,,,,,,
December,,,,,,10.3,2.1,5.9,3.6,3.8,2.4,1.5,,,,,,,,
Total,,,,,,,39,46.6,48.9,42.7,31.8,32.6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is in the Brushes Valley close the a small reservoir at the correct altitude. NGR could be +/- 300m,,,,,,,,,,,,,,,,,,,,
