DULVERTON-SKILGATE,,,,,,,,,,,,,,,,,,,,
Grid ref,SS987272,Long,-3.44504,Lat,51.03578,Elevation,750,ft,,,,,,,,,,,,
Station no,RR8793,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,2.04,6.8,2.49,4.18,1.34,2.85,3.19,4.93,,,,,,
February,,,,,,,6.19,4.08,1.65,5.7,4.81,5.2,2.67,5.67,,,,,,
March,,,,,,,6.96,3.76,2.92,1.65,2.61,3.71,2.77,1.08,,,,,,
April,,,,,,,4.1,5.48,4.15,2.84,2.6,1.98,5.83,1.92,,,,,,
May,,,,,,,0.34,3.03,8.23,3.65,0.98,1.95,2.49,1.65,,,,,,
June,,,,,,,1.63,1.07,4.07,6.72,3.34,2.9,6.06,2.8,,,,,,
July,,,,,,,0.86,5.52,2.67,5.41,6.58,3.07,5.64,,,,,,,
August,,,,,,,4.18,4.65,5.85,6.38,0.64,6.21,4.8,,,,,,,
September,,,,,,,6.93,3.45,3.48,3.84,4.63,2.47,4.29,,,,,,,
October,,,,,,,5.34,4.1,5.85,2.98,6.92,2.97,8.84,,,,,,,
November,,,,,,,6.58,7.81,5.31,0.8,4.95,4.88,7.63,,,,,,,
December,,,,,,,9.45,3.62,4.03,4.04,6.44,4.71,8.1,,,,,,,
Total,,,,,,,54.6,53.37,50.7,48.19,45.84,42.9,62.31,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Parsonage House,,,,,,,,,,,,,,,,,,,,
