BRIDPORT-RYALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SY407947,Long,-2.84106,Lat,50.74886,Elevation,460,ft,,,,,,,,,,,,
Station no,1595/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,2.64,3.29,0.96,6.46,5.7,3.98,6.77,3.02,5.08,4.47,8.35,3.13,2.82,4.04,3.18,6.26,1.27,0.85
February,,,4.4,0.1,3.23,2.86,6.35,1.11,2.97,4.27,4,0.23,1.22,0.54,2.87,2.92,1.55,1.48,1.53,6.63
March,,,3.74,2.46,1.28,4.98,3.88,0.22,1.19,3.31,2.92,2.96,1.19,0.15,1.38,1.53,7.19,1.33,1.56,2.19
April,,,2.33,2.54,4.65,2.34,2.68,0.1,2.46,2.08,3.06,1.7,1.11,2.21,0.99,1.86,2.28,2.1,1.92,2.05
May,,,2.03,1.24,1.41,0.57,3.1,2.34,0.77,1.99,1.96,5.06,2.32,0.89,3.71,4.36,3.15,3.24,2.43,1.67
June,,,1.93,1.01,4.52,2.54,1.1,1.35,3.28,0.57,1.54,0.25,1.29,2.44,4.05,3.74,2.57,2.34,0.46,0.98
July,,,2.07,0.1,0.44,5.66,3.96,4.25,4.83,3.49,1.14,1.47,2.91,3.74,1.89,1.4,2.71,1.88,1.24,4.88
August,,,1.59,4.38,2.74,0.16,1.27,2.96,2.7,0.13,4.01,5.34,3.87,3.27,2.27,5.02,1.28,4.14,1.79,5.75
September,,,2.13,3.59,4.21,2.62,3.27,2.26,1.68,1.95,1.68,2.95,3.06,1.32,3.15,5.17,1.3,2.74,4.54,4.99
October,,7.58,2.45,2.6,4.74,1.8,4.96,4.37,5.63,5.47,1.77,4.94,4.82,5,6.39,1.41,1.15,3.28,6.26,1.74
November,,2.8,0.83,1.5,7.37,3.46,2.86,6.47,9.21,8.6,2.2,1.34,2.93,6.27,1.11,7.61,2.62,2.61,3.68,7.38
December,,2.25,0.83,12.08,5.61,3.51,4.39,4.22,2.27,3.37,2.88,5.54,3.86,3.03,5.5,4.81,3.08,6.25,1.85,2.41
Total,,,26.97,34.89,41.16,36.96,43.52,33.63,43.76,38.25,32.24,36.25,36.93,31.99,36.13,43.87,32.06,37.65,28.53,41.52
,,,,,,,,,,,,,,,,,,,,
Observer lived at St Christophers House,,,,,,,,,,,,,,,,,,,,
Gauge noted as being in open field on northern slope of Hardown Hill,,,,,,,,,,,,,,,,,,,,
End 1950 Station ceased,,,,,,,,,,,,,,,,,,,,
