BOSTON SPA - observer Rev P.M. Eastman,,,,,,,,,,
Grid ref,SE434453,Long,-1.34095,Lat,53.90205,Elevation,67,ft,,
Station no,RR1546,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,3.3,1.02,,1.22,2.77,3.6,0.44,,,
February,0.83,0.02,,3.03,4.21,0.19,0.59,,,
March,1.95,1.23,,0.33,1.46,2.18,2.68,,,
April,0.71,1.81,,0.81,2.17,1.82,1.02,,,
May,2.07,2.08,,2.02,2.39,0.65,0.53,,,
June,2.29,1.06,,1.17,3.56,2.32,3.18,,,
July,2.04,3.67,,2.68,3.14,4.38,,,,
August,3.74,3.4,,1.95,2.79,1.81,,,,
September,2.17,1.46,,1.45,0.56,0.76,,,,
October,0.59,3.36,,2.24,3.54,3.72,,,,
November,2.54,2.66,,2.17,1.15,3.06,,,,
December,0.7,3.68,,3.26,1.54,2.74,,,,
Total,22.93,25.45,,22.33,29.28,27.23,,,,
