BOSTON SPA - observer G R Carroll,,,,,,,,,,,,,,,,,,,,
Grid ref,SE435452,Long,-1.33944,Lat,53.90114,Elevation,74,ft,,,,,,,,,,,,
Station no,RR1546,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,1.11,0.4,2.76,2.72,0.67,1.19,3.25,0.63,1.53,3.55,0.96,1.66,,,,
February,,,,,0.58,2.17,1.54,0.5,0.68,1.02,0.98,2.97,0.69,0.68,1.5,2.43,,,,
March,,,,,0.91,1.31,0.44,2.62,1.44,1.63,1.45,2.8,4.01,1.46,2.33,1.05,,,,
April,,,,,0.56,0.22,3.12,3.79,1.87,3.29,1.9,0.87,1.66,0.74,1.33,1.51,,,,
May,,,,,2.14,1.54,4.23,1.32,1.53,0.36,3.29,0.62,2.77,0.99,1.63,3.18,,,,
June,,,,,3.54,1.42,1.51,2.09,3.63,2.36,2.48,1.85,2.4,2.2,2.72,0.84,,,,
July,,,,3.51,2.83,4.24,1.99,2.16,2.15,2.14,2.29,2.37,2.11,1.94,1.04,1.18,,,,
August,,,,1.39,1.62,1.71,4.31,4.81,4.08,3.48,4.97,1.07,1.84,3.26,1.02,5.35,,,,
September,,,,3.97,0.63,0.47,4.25,2.71,2.8,2.89,2.12,2.8,2.48,2.64,2.14,0.29,,,,
October,,,,3.55,1.09,3.81,2.31,1.38,3.45,2.63,1.44,0.91,3.96,4.09,3.3,5.33,,,,
November,,,,1.38,2.65,1,1.35,1.41,1.63,1.9,2.95,2.35,0.6,1.85,2.97,2.44,,,,
December,,,,0.8,1.59,0.96,1.62,0.46,1.34,2.66,3.09,1.34,1.58,1.69,2.81,1.28,,,,
Total,,,,,19.25,19.25,29.43,25.97,25.27,25.55,30.21,20.58,25.63,25.09,23.75,26.54,,,,
