WATFORD-HUNTON-BRIDGE (PUMPING STATION),,,,,,,,,,
Grid ref,TL081008,Long,-0.4373469,Lat,51.69555,Elevation,215,ft,,
Station no,914/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.31,3.41,2.76
February,,,,,,,,3.89,0.05,2.37
March,,,,,,,,1.55,2.23,1.82
April,,,,,,,,1.38,2.53,0.68
May,,,,,,,,2.69,0.55,2.51
June,,,,,,,,4.4,1.82,1.68
July,,,,,,,,1.79,3.9,3.09
August,,,,,,,,2.89,2,3.49
September,,,,,,,,4.47,0.03,3.74
October,,,,,,,,3.54,2.49,6.84
November,,,,,,,,2.56,2.29,4.32
December,,,,,,,,3.63,4.81,3.3
Total,,,,,,,,36.1,26.11,36.6
