GREAT-CASTERTON-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,TF001087,Long,-0.52123426,Lat,52.666781,Elevation,126,ft,,,,,,,,,,,,
Station no,RR7569,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,0.8,1.63,0.97,3.34,3.03,1.26,2.13,0.98,2.16,,
February,,,,,,,,,,0.26,2.27,1.04,1.38,0.64,0.97,2.65,4.92,0.67,,
March,,,,,,,,,,3.25,0.61,1.56,2.37,3.22,2.43,1.1,5.02,1.3,,
April,,,,,,,,,,1.36,1.77,1.08,0.12,1.86,1.01,0.69,1.04,1.51,,
May,,,,,,,,,,1.24,2.98,1.63,3.94,2.74,0.99,2.4,2.32,1.34,,
June,,,,,,,,,,2.22,0.92,1.56,4.29,1.29,2.93,1.71,1.99,1.85,,
July,,,,,,,,,,1.97,1.89,0.4,5.9,0.79,1.45,4.09,1.74,1.48,,
August,,,,,,,,,,2.29,2.29,1.79,,1.9,1.3,1.76,4.48,5.01,,
September,,,,,,,,,,3.66,1.34,1.43,0.94,1.73,0.47,1.28,1.03,1.37,,
October,,,,,,,,,1.27,3.49,1.86,2.16,2.44,2.42,2.35,1.29,1.81,2.75,,
November,,,,,,,,,0.72,0.66,2.86,1.83,1.32,2.56,2.23,2.92,3.51,0.87,,
December,,,,,,,,,1.15,3.79,6.27,3.94,2.66,1,4.33,4.27,2.75,0.71,,
Total,,,,,,,,,,24.99,26.69,19.39,,23.18,21.72,26.29,31.59,21.02,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1912 Aug estimated,,,,,,,,,,,,,,,,,,,,
