GREAT CASTERTON RECTORY,,,,,,,,,,,,
Grid ref,TF001087,Long,-0.521234,Lat,52.666781,,,,,,,
Station no,RR7569,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.80,,
February,,,,,,,,,,0.26,,
March,,,,,,,,,,3.25,,
April,,,,,,,,,,1.36,,
May,,,,,,,,,,1.24,,
June,,,,,,,,,,2.22,,
July,,,,,,,,,,1.97,,
August,,,,,,,,,,2.29,,
September,,,,,,,,,,3.66,,
October,,,,,,,,,1.27,3.49,,
November,,,,,,,,,0.72,0.66,,
December,,,,,,,,,1.15,3.79,,
Total,,,,,,,,,,24.99,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.14,24.99,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
