SWANSWICK BATH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST756685,Long,-2.3522473,Lat,51.414987,Elevation,227,ft,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867
January,3.65,0.9,2.16,3.05,0.48,1.45,2.5,1.18,1.65,1.56,1.96,1.67,3.24,1.2,1.04,1.33,1.14,2.71,4.33,1.97,2.69,0.28,2.3,2.45,0.52,0.95,2.54,0.36,2.25,2.03,1.07,2.71,2.91,3.15
February,1.38,2.3,1.25,2.2,1.72,1.63,2.35,1.33,1.9,1.85,2.59,0.67,0.82,0.93,3.41,1.74,0.84,0.68,0.74,0.16,0.45,0.98,0.91,0.9,0.87,1.26,0.54,2.31,0.15,0.36,0.99,1.43,3.2,1.35
March,1.25,2.41,3.4,0.85,1.12,1.88,0.3,1.36,2.23,0.93,1.53,0.55,1.7,1.69,2.75,0.45,0.22,3.4,0.42,0.72,0.26,1.51,1.56,1.24,0.35,1.21,1.58,1.53,3.45,0.71,2.39,0.55,1.81,3.27
April,0.8,1.02,2.26,0.95,1,1.25,0.3,1.43,0.21,3.1,0.1,1.02,2.94,0.83,2.67,2.65,1.86,0.81,0.55,2.37,0.12,0.46,2.75,1.88,2.71,2.94,1.14,0.47,2.47,1.5,1.53,0.77,1.36,1.26
May,1.45,2.97,0.49,1.1,1.78,0.65,2.47,2.38,1.78,4.14,0.22,2.04,1.91,1.84,1.1,3.59,2.87,0.95,2.32,2.06,2.75,2.85,4.33,2.72,2,1.17,2.64,1.05,4.09,1.67,0.79,1.8,1.06,1.85
June,2.6,3.1,3.26,1.3,4.03,4.12,1.58,2.32,2.54,2.78,0.9,2.38,0.67,2.74,4.86,1.22,1.31,1.85,6.15,3.64,1.92,3.45,1.09,2.02,0.8,1.32,5.34,3.8,2.45,4.72,1.17,1.41,2.59,1.8
July,7.65,0.67,2.01,1.45,1.39,6.02,2.04,1.82,2.28,0.96,1.81,3,3.44,0.9,2.28,1.67,2.94,2.18,3.56,3.32,2.92,3.3,0.79,3.05,1.9,3.31,1.69,2.9,2.42,0.45,0.47,3.69,2.14,2.86
August,1.6,3.8,-999,3.82,1.56,1.48,1.56,2.9,2.01,3.55,2.81,3.69,3.44,1.15,3.34,1.2,2.48,2.67,5.39,3.15,0.85,1.33,3.56,1.94,1.47,3.34,4.55,0.8,0.74,2.65,0.54,4.05,2.14,1.95
September,2.6,2.98,-999,2.17,3.35,3.95,2.46,6.25,3.57,0.88,1.13,4.11,2.18,2.28,4,2.42,2.54,1.77,4.12,2.6,0.54,2.07,3.61,2.33,2.54,3.53,1.58,3.84,3.57,3.5,2.36,0,6.16,1.77
October,0.94,4.03,5.82,2.4,2.32,4,0.95,3.02,0.78,4,3.21,1.38,4.5,5.44,4.55,2.08,1.1,2.83,3.95,3.6,3.38,5.2,2.08,5.11,2.99,2.56,1.86,1.73,3.27,3.18,1.46,5.15,1.48,2.88
November,1.92,3.35,4.29,2.8,3.93,4.05,3.51,3.33,6.13,2.05,3.66,2.95,1.53,1.49,1.05,1.78,2.28,0.55,8.32,2.94,1.65,0.32,0.77,1.17,0.89,3.2,2.4,3.58,0.4,1.72,1.81,2.92,1.33,0.42
December,0.63,0.62,1.62,2.15,1.7,2.6,0.7,2.22,1.61,0.29,0.75,2.12,0.8,2.71,3.33,2.05,1.97,1.81,2.79,0.3,1.05,0.81,2.28,0.4,1.8,2.77,2.78,0.97,1.26,1.07,2.3,1.47,2.34,1.98
Total,26.47,28.15,29.26,24.24,24.38,33.08,20.72,29.54,26.69,26.09,20.67,25.58,27.17,23.2,34.38,22.18,21.55,22.21,42.64,26.83,18.58,22.56,26.03,25.21,18.84,27.56,28.64,23.34,26.52,23.56,16.88,25.95,28.52,24.54
