THORPE GRANGE,,,,,,,,
Grid ref,NZ093128,Long,-1.858,Lat,54.510,Elevation,431,ft
Station no,RR6014,,,,,,,
,,,,,,,,
,1868,1869,1870,1871,1872,1873,1874,
January,,4.00,2.72,1.70,4.43,2.86,2.17,
February,,2.10,3.11,2.70,3.16,1.06,1.79,
March,,2.14,1.64,1.69,4.16,2.78,1.82,
April,,1.30,0.42,2.60,2.84,0.61,1.18,
May,,4.06,1.12,0.74,1.41,1.99,2.36,
June,,0.99,2.26,3.10,3.49,1.23,1.44,
July,,0.39,0.52,3.47,4.05,2.21,0.83,
August,,1.57,2.12,1.18,3.02,2.28,2.76,
September,,5.98,0.77,6.45,3.82,1.42,2.81,
October,,1.71,6.17,2.52,4.73,1.88,2.74,
November,,2.88,1.90,1.11,5.22,1.96,2.40,
December,,3.86,2.86,1.93,4.42,0.52,2.64,
Total,28.69,30.98,25.61,29.19,44.75,20.80,24.94,
,,,,,,,,
TYRain_1860-1869_05_pt1/193,,,,,,,,
TYRain_1870-1879_08_pt3/083,,,,,,,,
