BLUNDESTON-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM511970,Long,1.6992251,Lat,52.512996,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,2.08,2.01,2.66,2.5,3.65,,,,,,,,,,,,,,1.46,1.52,2.85,1.14,1.15,1.5,3.09,2.79,3.92,,,
February,,1.44,1.37,0.52,1.36,3.28,,,,,,,,,,,,,,0.52,1.12,3.31,0.83,,0.44,1.63,2.63,3.33,,,
March,,2.2,2.45,2.18,3.16,2.09,,,,,,,,,,,,,,0.07,0.95,0.52,1.91,,1.48,1.42,0.6,3.09,,,
April,,0.91,0.39,1.48,0.65,0.9,,,,,,,,,,,,,,1.38,1.72,3.24,2.16,0.91,2.29,2.26,1.13,,,,
May,,0.68,0.49,1.83,0.92,2.07,,,,,,,,,,,,,,1.01,2.97,3.51,2.9,1.89,1.39,1.57,0.81,2.31,,,
June,,2.21,3.4,0.8,1.46,1.72,,,,,,,,,,,,,,0.88,0.72,1.85,0.13,2.77,1.26,1.47,2.19,1.73,,,
July,,0.66,2.92,3.16,1.93,5.01,,,,,,,,,,,,,,2.62,4.36,,3.04,0.74,2.21,0.33,3.6,1.81,,,
August,,0.5,8.48,1.03,0.43,2.64,,,,,,,,,,,,,,1.2,2.91,,2.2,0.91,1.82,2.18,1.24,3.32,,,
September,,1.86,2.62,1.13,1.33,2.19,,,,,,,,,,,,,,0.19,6.47,2.19,1.91,2.96,1.61,2.23,2.57,,,,
October,,2.23,1.96,4.38,2.05,2.29,,,,,,,,,,,,,,2.82,0.75,1.39,3.78,3.19,1.49,2.08,2.19,,,,
November,,3.28,3.1,1.18,2.12,3.21,,,,,,,,,,,,,,3.48,3.63,1.66,1.68,3.22,1.17,1.83,2.45,1.48,,,
December,,3.83,2.03,0.91,6.34,4.2,,,,,,,,,,,,,,4.09,2.08,1.68,0.7,0.73,3.43,2.03,1.37,1.47,,,
Total,,21.88,31.22,21.26,24.25,33.25,,,,,,,,,,,,,,19.72,29.2,,22.38,,20.09,22.12,23.57,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Jul Aug estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933 Feb Mar estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
