"HUNSTANTON",,,,,,,,,,,,
Grid ref,TF678416,Long,0.495913,Lat,52.945549,,,,,,,
Station no,1452,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.64,1.74,0.93,1.35,2.02,,,,,,,
February,2.14,0.73,1.07,1.83,1.87,,,,,,,
March,3.16,2.06,0.97,1.83,1.88,,,,,,,
April,3.15,1.41,1.79,0.32,1.06,,,,,,,
May,2.85,1.88,1.10,1.85,2.72,,,,,,,
June,0.99,1.65,3.31,2.27,2.22,,,,,,,
July,1.04,0.56,1.51,2.24,0.35,,,,,,,
August,3.58,1.94,2.02,3.74,0.87,,,,,,,
September,2.72,2.63,1.25,2.36,1.11,,,,,,,
October,1.02,1.94,2.37,2.88,,,,,,,,
November,3.26,2.17,1.28,3.91,,,,,,,,
December,1.22,1.61,0.89,1.90,,,,,,,,
Total,27.77,20.32,18.49,26.48,,,,,,,,
Calc annual,27.77,20.32,18.49,26.48,14.10,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
