"LOUGHBOROUGH FOREST ROAD",,,,,,,,,,,,
Grid ref,SK534193,Long,-1.209976,Lat,52.768664,,,,,,,
Station no,RR1169,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.95,1.58,1.20,,,,,,,,,
February,4.10,1.11,1.70,,,,,,,,,
March,0.62,2.34,1.43,,,,,,,,,
April,0.94,1.38,2.04,,,,,,,,,
May,1.90,0.67,2.32,,,,,,,,,
June,2.62,1.84,2.17,,,,,,,,,
July,1.96,2.81,1.32,,,,,,,,,
August,3.28,1.58,3.61,,,,,,,,,
September,0.53,1.01,1.42,,,,,,,,,
October,2.32,1.33,1.99,,,,,,,,,
November,2.33,1.25,1.52,,,,,,,,,
December,4.13,4.51,1.53,,,,,,,,,
Total,28.68,21.41,22.25,,,,,,,,,
Calc annual,28.68,21.41,22.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
