HATHERSAGE,,,,,,,,,,,,
Grid ref,SK231814,Long,-1.654620,Lat,53.329016,,,,,,,
Station no,RR6193,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.21,1.55,2.35,1.82,,
February,,,,,,,3.84,2.48,2.73,1.02,,
March,,,,,,,3.15,3.10,3.57,4.67,,
April,,,,,,,1.69,2.53,3.00,2.13,,
May,,,,,,,1.77,4.03,2.84,1.94,,
June,,,,,,,1.61,4.48,1.61,3.25,,
July,,,,,,,1.44,2.17,1.91,3.52,,
August,,,,,,,2.25,2.25,2.36,2.28,,
September,,,,,,,0.96,0.42,2.82,2.33,,
October,,,,,,,5.63,6.83,1.59,3.60,,
November,,,,,,,4.51,3.45,2.24,1.09,,
December,,,,,,,3.69,2.74,1.93,7.99,,
Total,,,,,,,34.75,36.03,28.95,35.64,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,34.75,36.03,28.95,35.64,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,0.00,,
