TORPANTAU-MOUNTAIN,,,,,,,,,,,,,,,,,,,,
Grid ref,SO044173,Long,-3.3892015,Lat,51.846085,Elevation,1860,ft.,,,,,,,,,,,,
Station no,RR2336,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,4.25,4.55,,4.85,12.85,8,5.95,3.75,11.05,11.05,,,,,
February,,,,,,0.2,3.05,,5.85,8.75,9.45,3.25,3.55,9.55,8.85,,,,,
March,,,,,,6.45,8.6,,3.8,3.25,2.45,7,4.4,12.75,3.25,,,,,
April,,,,,,4.55,1.35,,5.2,8.15,3.45,7,3.75,3.55,5.45,,,,,
May,,,,,,2.6,0.25,,5.85,3.55,4.55,1.45,4.45,6.45,4.3,,,,,
June,,,,,,1.05,2.15,4.75,4.05,2.55,5.25,3.85,4.75,3.3,2.35,,,,,
July,,,,,,11.05,2.6,3.95,1.85,2.45,3.15,2,2.45,5.85,4.25,,,,,
August,,,,,,9.6,4.25,8.55,9.45,2.05,6.2,6.05,3.05,9.85,6.35,,,,,
September,,,,,2.8,2.9,11.75,5.55,5.5,6.3,3.05,4.45,3.85,6.95,2.95,,,,,
October,,,,,9.1,4.55,8.25,4.7,9.95,6.55,9,4.95,5.95,20.95,3.45,,,,,
November,,,,,10.5,7.85,3.45,7.85,6.85,7.15,7.85,2.85,6.85,5.5,4.45,,,,,
December,,,,,7.8,6.95,11.55,15.05,10.45,8.55,13.55,11.85,8.35,7.05,6.55,,,,,
Total,,,,,,62,61.8,,73.65,72.15,75.95,60.65,55.15,102.8,63.25,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Torpantau Mountain at stated altitude. NGR could be +/- 300m. Gauge moved to station at the beginning of 1905.,,,,,,,,,,,,,,,,,,,,
