TORPANTAU-STATION-2ND,,,,,,,,,,
Grid ref,SO049168,Long,-3.3818078,Lat,51.841676,Elevation,1306,ft.,,
Station no,RR2336,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,2.35,11.45,,,
February,,,,,,3.65,6.35,,,
March,,,,,,9.35,5.05,,,
April,,,,,,7.85,1.95,,,
May,,,,,,0.65,5.35,,,
June,,,,,,5.75,3.55,,,
July,,,,,,2.05,1.95,,,
August,,,,,,8.25,4.95,,,
September,,,,,,3.75,0.75,,,
October,,,,,,4.45,9.15,,,
November,,,,,,7.25,9.75,,,
December,,,,,,3.2,6.25,,,
Total,,,,,,58.55,66.5,,,
,,,,,,,,,,
NGR  is the same as the Station gauge; the gauge was moved from the Mountain to the station at the beginning of 1905,,,,,,,,,,
