"BEN ALDER, LOCH A' BHEALAICH",,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 51217 72901,Long,-4.43951,Lat,56.82368,Elevation,2360,ft,,,,,,,,,,,,,
Station no,5726,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,17.1,15.7,20.6,10.7,-999,17,,,,12.1,-999,20.7,11.3,17.4,,,,,13.7,
February,,4.5,19.9,9.2,8.1,-999,11.5,,,,2.1,-999,0.9,7.75,2.3,,,,,15,
March,,20.4,5.2,7.4,2,-999,16.4,,,,9.1,-999,5.2,5.25,7.7,,,,,6.5,
April,,5.7,9.7,7.5,4.3,12,5,,,,2.8,6.4,10,5.4,11.6,5.1,4,2.5,2.4,6.5,
May,,7.7,10.6,6,5.2,14,6.4,,,,6.8,6.4,5.2,2.4,6.6,1.6,4.3,4.4,6.3,2.2,
June,,3.7,6.3,6,3.1,2.3,5.1,7.8,,,5.6,8.4,1.4,3.8,2,7.6,1.9,4.2,11.2,5.4,
July,,6.7,5.4,14,9,3,7,6.1,,,4.6,9.7,8.1,4.1,4.05,4.2,8.1,6.8,7.3,9.4,
August,,11.3,6,17.3,8.7,4.2,,7.5,,,9.2,4,3.4,4.1,10.3,5.4,5.7,5.3,4.9,,
September,,6.5,8.7,14.4,11.5,8.3,,9.4,,,8.5,5.1,7.7,3.2,12.3,13.5,6.3,7.4,8.7,,
October,,11.7,11.4,23,10,7.5,,8.1,,,12.4,11.6,13.4,15.3,15.5,19,11,5.1,,,
November,12.5,7.1,17,9,5.6,2.1,,9.1,,,11.1,18.2,12.2,4.7,3.3,,7.5,1.6,,,
December,8.3,14,12.5,7.2,16.4,9,,,,23.4,8.2,18.2,21.4,1.8,18.1,,21.5,4.7,,,
Total,,116.4,128.4,141.6,94.6,84.9,,,,,92.5,107.2,109.6,69.1,111.15,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BR 1921 P in Italics Feb Mar Dec T corrected,,,,,,,,,,,,,,,,,,,,,
BR 1922 P Ja Dec corrected,,,,,,,,,,,,,,,,,,,,,
BR 1923 P,,,,,,,,,,,,,,,,,,,,,
BR 1924 P in Italics Nov Dec corrected for date,,,,,,,,,,,,,,,,,,,,,
BR 1925 P JA Feb Mar Bracketed,,,,,,,,,,,,,,,,,,,,,
BR 1926 NP G damaged Au to Dec Deleted estd,,,,,,,,,,,,,,,,,,,,,
1930 P,,,,,,,,,,,,,,,,,,,,,
BR 1931 P Ja Fe Mar Bracketed,,,,,,,,,,,,,,,,,,,,,
BR1932 P,,,,,,,,,,,,,,,,,,,,,
BR 1933 P Feb Mar allocated from nearby Stns,,,,,,,,,,,,,,,,,,,,,
BR 1934 P Mar Apr estd,,,,,,,,,,,,,,,,,,,,,
BR 1935 NP Jan Feb Mar Nov Dec estd deleted,,,,,,,,,,,,,,,,,,,,,
BR 1936 NP Ja Fe Mar adjusted Deleted,,,,,,,,,,,,,,,,,,,,,
BR 1937 NP Ja Fe Mar estd deleted,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5726,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,,
