"NEWCASTLE, WELLBURN JESMOND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ260660,Long,-1.595216,Lat,54.987919,Elevation,161,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,1.36,0.57,2.12,3.71,1.52,3.59,1.22,1.5,1.02,2.07,1.06,1.19,1.32,1.62,4.73,1.38,2.17,0.93,2.68,3.62,1.55,0.82,2.24,1.8,0.38,2.2,0.29,1.41,0.77,2.44,1.53,3.14,4.62,1.81,2.12,1.02,3.57,2.45,2.94,2.9,4,2.98,0.99,1.93,2.01,2.52,1.46,2.3,2.72,3.41,2.86,,,,,,,,,
February,,2.97,0.96,1.75,1.35,0.85,1.13,0.43,0.97,1.01,1.58,0.04,2.49,3.09,2.73,1.11,0.67,1.12,1.09,0.98,5.43,1.42,1.23,1.43,2.79,0.76,0.87,1.14,1.79,1.65,2.57,0.64,2.6,0.46,1.09,2.47,2.79,0.96,1.14,1.93,0.91,0.17,1.96,3.3,1.2,2.55,2.61,0.65,1.24,0.88,1.77,1.11,,,,,,,,,
March,,2.42,1.22,2.09,2.07,1.78,4.57,1.6,4.84,2.54,2.04,3.75,1.3,0.67,0.65,2.22,2.28,3.03,2.24,1.55,1.76,1.81,0.86,1.24,1.37,1.24,1.13,0.93,3.36,5.22,0.48,2.03,1.36,2.18,1.79,1.75,3.52,2.9,1.14,2.44,3.1,1,1.45,1.67,0.96,1.83,1.29,1.67,2.61,0.54,1.88,1.21,,,,,,,,,
April,,1.11,2.9,1.59,2.03,1.81,1.56,1.02,1.5,2.47,0.67,2.21,1.08,0.44,1.01,1.36,0.9,1.67,2.42,3.02,1.45,1.14,1.35,1.56,1.62,2.8,1.24,2.41,2.71,2.71,2.02,1.52,0.19,2.76,0.66,0.4,1.46,3.05,1.28,1.69,2.99,1.3,1.66,1.78,1.64,2.84,0.95,1.94,1.03,1.45,1.62,3.12,,,,,,,,,
May,,1.65,1.72,3.08,0.99,2.94,2.64,1.41,0.68,1.1,2.19,1.74,2.68,1.97,2.58,0.79,0.82,1.61,2.38,3.64,1.41,2.47,2.63,2.39,2.61,0.47,4.73,4.06,1.91,1.75,2.59,0.75,2.65,1.98,1.19,1.82,2.76,2.32,1.59,0.82,3.38,1.67,1.14,2.39,6.36,2.43,2.89,1.56,1.44,0.82,1.31,2.89,,,,,,,,,
June,,2.02,3.96,4.02,1,1.59,1.37,0.32,1.9,0.29,3.15,0.35,2.89,1.17,3.3,3.52,2.17,2.83,2.18,1.82,5.03,1.3,2.17,3.09,1.91,1.02,1.73,2.13,0.28,2.04,1.52,4.59,4.86,1.31,3.58,0.45,1.99,1.27,0.62,1.47,0.67,0.7,1.51,1,1.9,0.05,3.57,3.88,3.88,1.28,0.57,2.65,,,,,,,,,
July,,3.18,3.33,4.94,4.53,1.66,4.41,1.27,5.51,2.6,1.94,4.71,1.63,3.53,2.02,5.07,2.71,1.41,0.68,2.89,1.58,3.63,3.05,4.63,1.42,1.74,1.07,1.43,2.91,2.48,2.1,0.89,3.19,0.55,2.81,2.72,2.99,0.97,3.85,1.6,4.28,1.44,4.52,2.56,5.37,1.8,3.52,3.59,1.58,2.27,4.22,,,,,,,,,,
August,,5.44,3.51,3.91,0.99,3.01,1.7,1.97,1.74,5.56,6.28,4.87,3.54,2.33,3.06,4.18,1.99,2.95,2.07,0.88,7.03,2.58,2.53,2.1,2.4,2.32,3.11,2.52,1.62,3.41,2.47,2.98,4.47,1.04,1.49,2.4,3.11,7.43,1.27,2.09,1.81,6.1,2.29,3.8,3.21,2.6,2.18,5.67,4.05,2.68,5.44,,,,,,,,,,
September,,4.72,2.73,5.13,1.6,2.68,1.78,5.24,1.39,1.07,2.13,2.58,2.75,2.01,0.93,0.52,2.4,2.77,0.4,2.65,0.87,0.99,0.61,2.81,1.44,2.05,0.47,0.58,1.69,1.62,0.71,2.67,1.86,5.13,1.3,1.57,1.47,2.03,5.02,1.04,1.51,1.01,3.81,1.54,2.74,3.29,2.19,4.12,0.88,0.87,2.92,,,,,,,,,,
October,,3.6,3.71,1.9,1.52,3.96,4.55,1.89,0.91,4.83,1.77,1.62,5.33,1.02,5.01,4.55,6.05,1.27,3.63,1.98,7.21,2.33,2.5,8.59,0.67,2.93,4.36,5.23,1.49,2.33,3.42,2.42,3.4,1.45,2.04,1.29,2.8,2.16,2.34,5.21,1.6,1.98,1.63,1.83,3.72,1.69,2.84,1.62,2.87,1.91,1.67,,,,,,,,,,
