"LIPHOOK BORDON CAMP",,,,,,,,,,,,
Grid ref,SU800365,Long,-0.858296,Lat,51.122209,,,,,,,
Station no,RR4775,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.23,6.02,0.96,6.54,0.91,1.93,1.05,,
February,,,,2.23,4.72,0.79,3.70,1.66,0.99,0.40,,
March,,,,3.33,1.77,4.90,1.75,0.96,2.91,4.38,,
April,,,,2.31,1.55,1.45,0.52,4.03,2.44,1.79,,
May,,,,3.41,3.46,0.69,1.72,2.04,2.34,2.39,,
June,,,,3.81,0.93,5.36,2.32,2.21,0.74,3.08,,
July,,,,3.88,1.32,0.35,0.39,1.03,1.89,2.93,,
August,,,,4.79,2.48,3.18,0.92,2.27,4.18,2.11,,
September,,,,2.93,1.79,2.23,1.80,0.31,2.01,2.50,,
October,,,,9.78,2.16,1.74,5.24,6.67,2.74,6.36,,
November,,,,1.84,1.25,4.40,4.61,2.62,1.05,0.59,,
December,,,,3.82,3.28,0.68,2.28,3.73,3.47,4.34,,
Total,,,,44.36,30.73,26.73,31.79,28.44,26.69,31.92,,
Calc annual,0.00,0.00,0.00,44.36,30.73,26.73,31.79,28.44,26.69,31.92,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
