LIPHOOK-BORDON-CAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU800365,Long,-0.858296,Lat,51.122209,Elevation,265,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,2.23,6.02,0.96,6.54,0.91,1.93,1.05,3.47,1.31,3.69,4.69,0.56,5.08,1.15,0.96,3.5,4.41,4.36,2.81,5.78,,,,,,,,
February,,,,2.23,4.72,0.79,3.7,1.66,0.99,0.4,5.25,1.66,2.74,1.32,5.44,5.04,3.66,0.8,1.74,1.11,0.95,0.19,4.11,,,,,,,,
March,,,,3.33,1.77,4.9,1.75,0.96,2.91,4.38,1.43,2.4,4.05,3.67,4.2,0.73,3.64,2.25,1.21,4.24,1.9,1.35,3.2,,,,,,,,
April,,,,2.31,1.55,1.45,0.52,4.03,2.44,1.79,1.81,2.13,0,3.13,1.65,1.13,0.86,1.78,2.54,2.4,3.47,0.9,4.33,,,,,,,,
May,,,,3.41,3.46,0.69,1.72,2.04,2.34,2.39,1.51,2.91,1.73,2.36,1.2,3.97,1.51,1.41,1.58,0.33,0.93,1.67,1.18,,,,,,,,
June,,,,3.81,0.93,5.36,2.32,2.21,0.74,3.08,2.64,1.65,4.02,0.36,1.54,1.12,1.93,1.55,1.79,0.76,1.42,0.1,1.66,,,,,,,,
July,,,,3.88,1.32,0.35,0.39,1.03,1.89,2.93,2.3,0.94,2.16,2.42,2.87,3.85,0.79,3,4.54,1.13,6.11,0.24,4.74,,,,,,,,
August,,,,4.79,2.48,3.18,0.92,2.27,4.18,2.11,3.65,0.58,5.3,1.43,1.8,1.56,3.01,3.99,0.93,2.5,1.47,1.97,3.44,,,,,,,,
September,,,,2.93,1.79,2.23,1.8,0.31,2.01,2.5,0.31,1.05,3.45,3.71,1.28,2.25,2.04,1.67,5.79,2.03,2.34,0.92,2.18,,,,,,,,
October,,,,9.78,2.16,1.74,5.24,6.67,2.74,6.36,3.77,4.89,3.99,4.1,3.78,3.39,5.31,3.87,1.5,0.6,3.35,0.72,1.18,,,,,,,,
November,,,,1.84,1.25,4.4,4.61,2.62,1.05,0.59,3.59,4.86,2.31,2.92,3.77,2.9,3.92,0.6,3.18,2.43,1.46,1.85,2.49,,,,,,,,
December,,,,3.82,3.28,0.68,2.28,3.73,3.47,4.34,5.87,10.77,4.52,1.72,10.08,6.77,1.29,0.45,2.66,4.68,3.49,2.17,5.39,,,,,,,,
Total,,,,44.36,30.73,26.73,31.79,28.44,26.69,31.92,35.6,35.15,37.96,31.83,38.17,37.79,29.11,22.33,30.96,26.62,31.25,14.89,39.68,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This gauge seems to have started as they started building the camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Each new building meant the gauge had to move but the land is fairly flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903 May 29 Gauge moved 370yds N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation before and after move very similar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910 Sept 1 Gauge moved 85ft E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915 Sept Gauge moved 6ft NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
