LITTLE COMBERTON,,,,,,,,,,,,,,,,,,,,
Grid ref,SO967428,Long,-2.0495714,Lat,52.083544,Elevation,124,ft,,,,,,,,,,,,
Station no,2424/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,0.54,2.94,2.72,2.58,4.5,2.88,3.06,3.1,4.99,2.06,1.01,2.28,,,,
February,,,,,2.16,1.96,3.09,0.51,0.94,2.24,2.24,0.51,1.69,0.82,1.65,1.47,,,,
March,,,,,0.5,2.21,2.77,0.16,1.54,1.49,1.93,2,1.29,0.12,0.9,0.84,,,,
April,,,,,3.9,2.26,1.91,0.16,2.44,2.87,1,1.22,0.8,1.22,0.96,2.23,,,,
May,,,,,1.79,1.06,2.16,1.79,0.92,2.3,1.63,2.91,2.74,0.51,2.7,2.91,,,,
June,,,,,3.07,4.25,1.45,1.21,1.98,0.48,2.27,0.01,1.62,2.16,2.5,2.37,,,,
July,,,,,0.37,4.96,3.76,2.54,4.81,3.28,2.73,1.51,0.78,2.76,1.72,1.42,,,,
August,,,,,1.13,0.32,0.34,2.81,2.02,0.18,4.08,3.18,1.3,2.89,2.2,4.23,,,,
September,,,,,2.81,3.6,2.96,1.85,0.65,0.75,0.65,1.36,1.49,2.55,1.86,3.39,,,,
October,,,,,3.01,1.23,2.27,2.33,3.15,3.54,2.08,2.2,2.02,3.23,3.2,0.44,,,,
November,,,,,4.39,1.95,1.58,2.25,4.13,5.58,2.31,1.47,1.49,4.35,0.37,4.64,,,,
December,,,,,3.41,2.4,1.72,3.05,1.62,1.4,1.46,3.15,0.99,2.51,3.7,1.95,,,,
Total,,,,,27.08,29.14,26.73,21.24,28.7,26.99,25.44,22.62,21.2,25.18,22.77,28.17,,,,
