BOTLEY-BROOK-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU507130,Long,-1.27969,Lat,50.9148,Elevation,45,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,1.39,4.1,5.59,0.57,4.25,1.41,1.36,4.1,5.45,3.87,3.95,5.21,1.67,3,4.48,4.97,2.5,5.65,1.46,5.15,2.27,,,,,,,,,
February,,1.69,2.35,1.17,4.54,5.54,4.94,1.24,1.62,3.3,0.55,0.37,3.45,5.68,0.49,5.12,2.1,4.55,2.25,1.19,1.47,2.19,,,,,,,,,
March,,2.41,3.3,3.67,5.11,1.08,4.1,3.49,1.03,5.8,2.2,1.22,2.57,1.67,1.68,0.37,0.76,3.5,3.05,0.16,1.97,1.02,,,,,,,,,
April,,1.9,0.34,3.17,1.79,1.38,0.81,2.63,2.22,2.54,3.85,1.14,3.96,3.22,3.5,2.66,3.25,1.81,1.77,1.11,2.82,2.99,,,,,,,,,
May,,2.66,1.13,2.92,1.52,3.79,1.55,2.34,1.67,0.54,1.68,1.61,1.02,2.07,4.02,3.9,2.05,1.03,1.48,1.57,2.6,3.2,,,,,,,,,
June,,1.79,4.43,0.52,0.87,1.35,1.85,4.21,1,0.5,2.35,0.06,1.79,0.36,3.33,0.2,2.75,2.77,2.06,1.68,0.68,2.43,,,,,,,,,
July,,0.17,2.82,1.15,2.79,4.5,1.24,3.16,4.92,1.72,5.59,0.5,4.48,0.98,3.95,3.85,1.75,3.26,1.88,1.56,2.35,3.14,,,,,,,,,
August,,0.83,6.39,2.3,2.4,1.85,3.2,5.89,2.31,3.25,1.67,2.9,3.03,2.53,2.95,3.64,1.34,4.25,3.5,1.86,4.96,4.74,,,,,,,,,
September,,0.94,2.55,2.97,1.46,4.08,2.82,1.75,7.14,1.97,1.66,0.8,1.88,2.05,6.5,3.15,0.54,6.92,1.22,0.25,3.43,2.03,,,,,,,,,
October,,4.33,3.73,4.93,2.43,4.39,5.32,5.27,1.67,0.82,3.05,0.65,1.34,6.25,4.49,4.04,2.5,2.18,6.7,5.04,2.39,0.7,,,,,,,,,
November,,4.35,2.37,3.13,3.73,2.59,4.65,1.02,2.65,2.73,3.2,2.08,2.38,2.5,2.65,3.23,7.14,3.45,3.05,9.87,6.09,3.9,,,,,,,,,
December,,8.68,4.38,2.01,10.2,9.09,4.29,1.31,2.8,6.95,3.16,1.84,4.77,2.87,5.82,3.78,0.39,3.43,2.99,7.85,4.22,0.75,,,,,,,,,
Total,,31.14,37.89,33.53,37.41,43.89,36.18,33.67,33.13,35.57,32.83,17.12,35.88,31.85,42.38,38.42,29.54,39.65,35.6,33.6,38.13,29.36,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911 Aug 11 Inspection Gauge in wooden box Garden well sheltered making exposure reasonably good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 Station terminated House to be sold and no further records to be kept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
