EGHAM-COOPERS-HILL-(5-INCH-GAUGE),,,,,,,,,,,,,,,,,,,,
Grid ref,SU995721,Long,-0.56985,Lat,51.439167,Elevation,280,ft,,,,,,,,,,,,
Station no,0243/4/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,0.91,3.87,1.11,,,,0.64,1.02,2.5,,,,,
February,,,,,,,1.68,0.87,0.89,,,,1.25,2.18,1.45,,,,,
March,,,,,,,4.76,0.57,1.13,,,,0.28,2.01,1.03,,,,,
April,,,,,,,1.55,1.35,1.06,,,,2.18,0.34,0.14,,,,,
May,,,,,,,1.51,2.37,1.66,,,,1.81,2.83,3.82,,,,,
June,,,,,,,3.12,2.83,0.18,,,,1.05,3.6,2.4,,,,,
July,,,,,,,2.01,1.3,1.68,,,,3.91,2.51,0.64,,,,,
August,,,,,,,0.34,2.75,0.96,,,,1.55,2.91,0.93,,,,,
September,,,,,,,1.16,1.35,0.57,,,,1.68,2.49,1.67,,,,,
October,,,,,,,0.23,1.97,4.93,,,,2.95,1.86,3.59,,,,,
November,,,,,,,1.29,1.8,2.14,,,,1.11,4.2,1.1,,,,,
December,,,,,,,2.57,2.86,1.34,,,,0.61,2.09,2.16,,,,,
Total,,,,,,,21.13,23.89,17.65,,,,19.02,28.04,21.43,,,,,
,,,,,,,,,,,,,,,,,,,,
1948 New gauge installed,,,,,,,,,,,,,,,,,,,,
Ended end of 1949 ,,,,,,,,,,,,,,,,,,,,
Restarted 1952,,,,,,,,,,,,,,,,,,,,
1952 Record retained in file Values too low,,,,,,,,,,,,,,,,,,,,
1953 Record accepted after certain corrections,,,,,,,,,,,,,,,,,,,,
1954 Adjustments made increasing observers total by 0.53 Observer not informed,,,,,,,,,,,,,,,,,,,,
1955 Jan Feb Corrected by surrounding stations Obs agreed,,,,,,,,,,,,,,,,,,,,
