"EDINBURGH, BLACKET PLACE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT267722,Long,-3.174957,Lat,55.937244,Elevation,252,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,3.83,0.96,1.71,0.64,3.7,0.73,1.05,0.71,2.47,1.77,0.84,0.8,0.84,3.69,3.38,,,,,,,,,
February,,,,,,,1.6,1.09,1.45,1.17,0.95,0.21,2,2.63,6.81,0.56,0.85,1.42,1.02,1.45,3.57,,,,,,,,,
March,,,,,,,2,1.7,3.67,0.78,1.83,3.01,1.37,0.88,1.71,2.8,1.59,2.87,1.22,2.13,1.06,,,,,,,,,
April,,,,,,,1.61,1.47,1.56,3.11,0.84,0.29,1.11,1.64,1.75,1.17,0.96,1.04,1.91,2.29,1.35,,,,,,,,,
May,,,,,,,4.2,1.88,0.76,1.59,1.71,1.91,3,1.37,3.2,1.42,0.57,1.28,2.34,3.8,1.35,,,,,,,,,
June,,,,,,,2.2,0.35,2.38,1.49,3.23,0.57,3.14,2.48,2.65,2.88,3.57,3.99,1.39,1.48,2.83,,,,,,,,,
July,,,,,,,3.03,2.21,5.71,3.96,2.43,3.69,1.17,2.53,2.83,4.66,4.33,1.82,1.28,3.98,2.92,,,,,,,,,
August,,,,,,,0.7,1.65,1.88,5.4,4.28,5.21,4.8,3.16,3.83,5.12,1.79,4.24,3.3,0.55,5.68,,,,,,,,,
September,,,,,,,2.29,4.78,0.59,0.87,2.23,4.71,1.2,1.67,0.48,0.63,4.47,1.64,2.21,3.78,1.86,,,,,,,,,
October,,,,,,,4.07,1.44,1.18,3.33,3.05,2.03,3.92,2.51,2.79,3.3,4.14,1.27,3.7,1.59,4.87,,,,,,,,,
November,,,,,,,1.72,3.37,4.77,0.68,4.84,1.69,1.43,1.74,1.43,2.6,0.65,1.97,4.11,3.26,5.42,,,,,,,,,
December,,,,,,,2.73,1.23,1.03,1.42,1.55,5.16,1.36,2.5,2.25,2.27,3.35,2.45,1.91,2.13,4.43,,,,,,,,,
Total,,,,,,,29.98,22.13,26.69,24.44,30.64,29.21,25.55,23.82,32.2,29.18,27.11,24.79,25.23,30.13,38.72,,,,,,,,,
