KINGSBRIDGE-BURTON-(2ND-GAUGE-VALLEY),,,,,,,,,,,,,,,,,,,,
Grid ref,SX692402,Long,-3.8351,Lat,50.2481,Elevation,200,ft,,,,,,,,,,,,
Station no,RR1076,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,,2.37,3.41,7.38,,,,,,,
February,,,,,,,,,,,2.25,2.22,4.5,,,,,,,
March,,,,,,,,,,,2.96,1.16,3.02,,,,,,,
April,,,,,,,,,,0.88,0.17,4.85,1.36,,,,,,,
May,,,,,,,,,,4.06,1.24,0.57,1.62,,,,,,,
June,,,,,,,,,,0.4,0.08,1.84,3.67,,,,,,,
July,,,,,,,,,,0.45,1.51,4.12,3.12,,,,,,,
August,,,,,,,,,,0.41,1.14,1.71,1.38,,,,,,,
September,,,,,,,,,,4.46,1.16,7.82,2.75,,,,,,,
October,,,,,,,,,,1.44,3.5,3.96,5.24,,,,,,,
November,,,,,,,,,,1.77,1.79,1.26,4.46,,,,,,,
December,,,,,,,,,,4.56,2.77,2.44,5.73,,,,,,,
Total,,,,,,,,,,,20.94,35.36,44.23,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is near Burton House at given altitude,,,,,,,,,,,,,,,,,,,,
"1870 Note says “I think the reason this gauge makes the rainfall nearly 4in under the one at Bolt Tail is because it is placed in a valley, while the other one is on a mound much exposed”",,,,,,,,,,,,,,,,,,,,
1873 Gauge out of order – discontinued,,,,,,,,,,,,,,,,,,,,
