"CROYDON AIRPORT",,,,,,,,,,,,
Grid ref,TQ312633,Long,-0.117254,Lat,51.353636,,,,,,,
Station no,100,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.05,2.01,1.08,1.08,2.46,3.94,1.44,2.06,2.58,2.05,,
February,7.06,0.93,1.22,1.96,1.59,0.28,3.00,2.00,0.05,1.80,,
March,3.10,2.45,0.37,1.71,1.10,0.82,0.78,1.26,2.25,1.69,,
April,2.60,1.22,2.46,0.30,0.23,1.28,0.22,1.34,2.36,0.64,,
May,2.31,1.59,1.45,2.74,3.79,0.31,1.35,2.29,1.15,1.60,,
June,0.83,1.71,1.53,2.95,1.70,2.23,0.87,4.61,0.79,1.02,,
July,2.19,0.69,3.03,2.49,0.98,4.61,3.05,2.59,1.13,2.52,,
August,3.08,2.71,1.25,2.39,1.58,2.52,2.85,2.76,1.07,2.76,,
September,2.81,2.99,2.79,2.13,1.80,2.27,2.43,5.35,0.16,-999.00,,
October,1.09,2.90,3.71,1.77,3.30,1.04,1.58,3.34,,-999.00,,
November,5.97,3.32,1.21,4.76,0.89,0.66,2.92,1.55,,-999.00,,
December,2.40,2.08,0.56,1.91,2.18,2.98,2.15,2.87,,-999.00,,
Total,36.49,24.60,20.66,26.19,21.60,22.94,22.64,32.02,,-999.00,,
Calc annual,36.49,24.60,20.66,26.19,21.60,22.94,22.64,32.02,11.54,14.08,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,-1013.08,,
