CROYDON-AIRPORT-(8IN-GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ312633,Long,-0.117254,Lat,51.353636,Elevation,217,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,1.83,3.01,1.46,2.48,2.05,3.19,2.37,3.6,1.15,3.3,1.72,2.7,1.79,2.09,1.13,5.05,5.37,2.57,5.07,2.26,2.03,2.82,6.05,1.87,2.02,2.28,2.28,3.36,1.06,0.85
February,,0.15,2.36,4.38,0.66,4.48,2.3,4.37,1.62,0.69,0.69,1.81,0.26,2.63,0.35,3.19,2.15,4.66,0.72,1.47,1.91,2.5,0.67,2.01,0.72,1.65,2.55,1.46,1.69,1.23,4.77
March,,1.38,1.87,2.02,0.88,0.79,0.31,2.57,2.35,0.07,1.74,0.31,1.42,3.09,2.49,0.21,1.18,3.25,0.38,1.27,3.25,3.07,2.09,0.27,0.04,1.1,1.26,5.08,0.92,0.8,1.09
April,2.93,1.19,3.12,1.83,3.77,2.75,4.09,1.82,1.91,1.06,1.4,4.07,2.37,0.65,2.87,2.93,1.81,2.51,0.16,2.74,1.67,1.85,1.69,0.97,1.28,1.28,2.54,1.96,1.57,1.54,3.3
May,0.57,1.71,1.14,2.49,3.08,1.91,1.37,1.03,2.17,1.54,3.26,2.95,4.05,2.8,0.6,1.44,0.45,2.5,2.07,1.89,1.06,1.84,3.42,2.62,0.42,2.93,3.35,1.3,1.43,1.7,1.22
June,1.77,0.17,1.32,0.36,2.12,0.14,3.54,2.89,2.65,0.97,0.63,2.08,1.02,1.73,1.03,2.66,2.5,1.72,0.52,1.12,0.32,2.07,0.68,1.14,2.1,1.72,2.36,2.78,2.54,0.98,1.33
July,4.37,0.13,3.16,2.55,3.94,3.61,1.86,2.65,1.93,1.77,2.07,2.74,2.13,1.8,2.35,1.33,4.12,0.69,1.75,2.3,2.39,2.74,2.22,1.52,2.08,3.88,2.32,1.01,1.15,0.65,2.69
August,1.54,1.24,2.37,2.87,3.46,2.28,1.3,3.83,2.92,1.83,2.98,4.19,1.09,0.78,2.5,3.1,0.98,2.5,3.14,2.63,,3.94,2.3,1.17,2.92,1.7,4.42,0.17,4.26,1.4,1.66
September,3.32,1.24,1.97,1.31,3.31,2.67,1.64,5.29,0.75,0.14,3.61,1.7,1.76,2.52,1.57,3.51,2.76,2.4,2.48,1.6,1.35,0.56,2.33,1.47,2.92,1.67,3.17,1.24,1.62,0.39,2.73
October,0.99,0.65,1.02,5.81,3.45,3.03,2.85,1.32,5,3.83,1.17,0.73,5.11,1.89,1.75,3.63,2.11,3.3,2.73,6.07,3.13,1,4.16,2.9,3.85,3.03,1.33,0.26,1.74,6.1,0.3
November,1.26,1.59,1.74,1.82,3.54,2.6,5.49,2.56,2.2,6.3,4.2,2.94,0.96,1.08,2.59,4.77,3.97,1.89,3.78,4.65,7.77,2.95,2.01,1.32,3.92,0.22,4.06,0.98,1.63,2.77,5.77
December,1.95,1.22,3.97,2.38,4.05,2.64,0.32,4.23,2.77,6.87,2.18,0.59,0.58,0.4,6.43,4.11,3.09,4.41,3.56,1.55,1.35,2.04,3.38,2.06,2.77,3.63,2.78,2.69,3.64,1.15,1.65
Total,,12.5,27.05,29.28,34.74,28.95,28.26,34.93,29.87,26.22,27.23,25.83,23.45,21.16,26.62,32.01,30.17,35.2,23.86,32.36,,26.59,27.77,23.5,24.89,24.83,32.42,21.21,25.55,19.77,27.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 Mar 20th Station opened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 July 5th Gauge moved 55yrds E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Aug Gauge damaged by air raids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Dec 20th 5in gauge installed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
