BUXTON-LONGHILL-NO-2-GAUGE,,,,,,,,,,
Grid ref,SK031752,Long,-1.954974,Lat,53.273777,Elevation,1370,ft.,,
Station no,2643/2/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,6.05,3.58,2.3,4.07,3.75,5.1,4.55,5,,
February,6.41,0.53,4.5,0.35,5.7,3.59,7.68,2.1,,
March,0.8,2.98,4.26,2.93,1.67,3.24,4.5,1.25,,
April,5.52,4.8,1.42,2.27,3.67,1.74,3.95,0.35,,
May,2.91,5.3,2.14,2.52,0.5,0.51,2.5,4.5,,
June,5.42,0.68,3.88,1.76,4.3,3.99,1.45,3.8,,
July,4.67,3.16,3.17,4.02,1.83,6.41,4.25,5.5,,
August,6.18,1.61,1.69,3.37,2.15,1.96,1.75,2,,
September,4.43,3.51,0.88,3.24,6.04,5.65,1.15,2.8,,
October,2.35,7.73,6.08,6.42,8.87,6.05,2.7,8,,
November,5.24,3.65,2.67,1.95,6.32,5.13,2.05,7,,
December,1.82,1.42,0.47,6.8,5.12,4.28,5.15,5.7,,
Total,51.8,38.95,33.46,39.7,49.92,47.65,41.68,48,,
,,,,,,,,,,
,,,,,,,,,,
NGR is from the 1950s record and is near Longill Hill Farm. Altitudes match. Gauge move 133 yds NNE 1/10/1938. No 2 gauge is described as being over the road from No 1.,,,,,,,,,,
