BUXTON-LONGHILL-NO-1-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK031752,Long,-1.954974,Lat,53.273777,Elevation,1390,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2643/2/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,3.82,2.61,4.4,5.05,4.5,8.4,,,,,8.15,4.8,6.1,4.4,11.8,4.15,4,7.8,6.2,3.04,4.9,3.2,8.3,3.57,5.7,5,7.71
February,,,,0.29,4.83,3.1,5.2,1.6,4.05,,,,3.9,2.6,5.4,8.45,,4,2.45,6.85,5.7,4.01,2.87,5,3.24,1.5,3.75,9.7,,3.85
March,,,,2.72,1.53,4.6,5.3,1.55,3.05,3,4.2,3.4,1.5,,1.9,2,8,2.4,3.1,2.7,7.85,3.8,3.52,4.15,4,1.8,4.75,2.9,2.78,2.39
April,,,,2.36,3.51,1.7,3.75,0.25,3.15,3.25,3.5,2.75,2.75,4.1,2.9,2.3,4.45,2.3,4.1,4.3,3.42,4.5,4.5,0.9,3.55,2.2,0.56,2.15,3.45,3.06
May,,,0.2,2.57,0.42,0.43,2.55,5,1.55,1.25,3.45,5.6,4.35,3.15,3.9,1.8,3.05,2.3,2.75,1.4,,2.56,2.53,3.5,5,1.2,3.45,5,0.91,2.18
June,,,4.71,1.6,4.8,4.19,1.35,4.05,3.2,1.33,2.75,0.86,3.7,4.25,4.8,5.3,2.7,7.15,1.85,3.8,,3.75,3.91,4.2,4.05,3.75,2.27,6.45,1.35,2.26
July,,,3.03,3.54,1.51,5.71,3.8,5.05,8.15,4.55,3.5,6,1.75,4.9,2.1,5.75,3.7,4.25,2.5,3.85,3.55,4,5.78,7.3,,6,,5.75,3.62,8.2
August,,,1.19,3.38,2.29,1.85,1.85,2.3,2.85,2.1,7.55,4.8,5.2,4.1,3.5,6,0.7,6.65,2.85,5.5,,2.57,5.2,6,0.9,11.25,6.5,4.3,1.2,4.9
September,,,0.67,3.47,6.21,5.37,1.2,2.3,1.62,4,0.65,3.75,5.65,5.25,2.1,7.3,2.65,3.25,1.45,6.9,3.2,4.47,3.8,5.91,4.55,4.2,,6.6,0.27,4.42
October,,,5.84,5.25,7.2,4.36,2.5,7.95,3.65,5.05,5.55,7.75,3.4,6.5,7.8,1,1.15,,5.2,3.15,1.4,4.93,2.8,8.35,3.55,3.3,4.85,4.95,4.24,7.02
November,,,2.57,1.91,6.45,4.94,1.85,6.9,8.15,8.88,4.95,1.3,,8.2,1,8.8,5.8,3,6.9,6.77,12.5,3.72,3.5,8.75,3.5,1.95,2.35,2,5.5,6.75
December,,,0.32,7.32,5.31,3.72,5.75,5.8,3,5.2,3.25,4.56,2.55,4.3,4.65,5.6,5.7,5.5,7,4.5,8,4.97,2.6,8.7,6,7.3,6.4,4.38,8.41,5.6
Total,,,,38.23,46.67,44.37,40.15,47.25,50.82,,,,,,44.85,60.4,,,44.3,53.72,,49.48,44.05,67.66,,52.75,,59.88,,58.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near Longill Hill Farm. Altitudes match. Gauge move 133 yds NNE 1/10/1938. No 2 gauge is described as being over the road from No 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
